fiat_type,order_type,operations,total_fiat,avg_price,total_fees
UYU,Sell,138,2460383.05,41.87514492753623,79.24
USD,Buy,603,611002.02,2414.2922072968495,4364980.1356
USD,Sell,594,451458.06,1.0351481481481482,1219.8700000000001
UYU,Buy,19,200736.64,95852.32263157895,77358.357
