,fiat_type,avg_price,median_price,min_price,max_price,std_price,q1_price,q3_price,iqr_price,p1_price,p99_price
0,USD,1216.7360726817042,1.037,0.94,41574.72,4705.703044221804,1.03,987.0,985.97,0.96,26867.683199999985
1,UYU,11636.770063694268,41.8,36.0,910255.43,102402.86522383052,41.43,42.33,0.8999999999999986,38.083999999999996,400537.58919999795
