asset_type,total_fees_collected,avg_fee_per_op,num_ops_with_fees,max_fee
BUSD,4436860.7516,113765.6602974359,36,1148845.586
USDT,2716.04,2.157299444003177,1223,22.4
BTC,2569.359,58.39452272727272,43,925.0
ETH,1491.452,124.28766666666667,9,588.0
