hour_local,count
0,15
1,8
2,1
3,1
4,1
5,1
6,1
7,3
8,14
9,24
10,28
11,32
12,57
13,76
14,81
15,88
16,99
17,82
18,94
19,71
20,67
21,62
22,35
23,27
