,fiat_type,avg_price,median_price,min_price,max_price,std_price,q1_price,q3_price,iqr_price,p1_price,p99_price
0,USD,641.8841229508197,1.065,0.85,17944.74,1985.3199356595658,1.039,969.5,968.461,0.85,16153.59850000003
1,UYU,41.94162790697675,42.01,37.05,46.0,1.7187438844065672,40.51,43.295,2.7850000000000037,38.0051,45.1296
