asset_type,total_fees_collected,avg_fee_per_op,num_ops_with_fees,max_fee
BUSD,253273.07799999998,15829.567374999999,14,179856.115
BTC,774.373,154.87460000000002,5,449.0
USDT,423.69,0.44834920634920633,888,14.07
ETH,105.452,52.726,2,53.034
