fiat_type,order_type,operations,total_fiat,avg_price,total_fees
UYU,Sell,360,3646659.19,43.03208333333333,66.53
UYU,Buy,242,2192248.17,40.319462809917354,11006.311
USD,Buy,201,74001.89,1167.9449850746269,243346.84199999998
USD,Sell,165,72113.12,1.0463454545454545,156.91
