fiat_type,avg_price,median_price,min_price,max_price,std_price,q1_price,q3_price,iqr_price,p1_price,p99_price
UYU,1362.0463234579845,42.99,36.0,910255.43,34536.33583827026,41.8,44.55,2.75,39.0,47.15
USD,1133.860107501942,1.034,0.803,108205.04,8071.657280136979,1.002,1.05,0.04800000000000004,0.901,44063.12
