Counterparty,total_sessions,avg_ops_per_session,avg_volume_per_session,max_ops_in_session,max_volume_in_session,avg_session_duration_minutes
P2P-17e72ffv,1,4.0,64442.619999999995,4,64442.619999999995,46.53333333333333
P2P-bbd542yf,1,2.0,44004.4,2,44004.4,16.483333333333334
P2P-91057azg,1,1.0,14063.34,1,14063.34,0.0
P2P-06cf0eb7,1,1.0,23074.74,1,23074.74,0.0
P2P-e81516zv,1,1.0,44240.19,1,44240.19,0.0
P2P-b78d47da,1,2.0,100765.07999999999,2,100765.07999999999,19.2
NeoxCript,1,1.0,27019.11,1,27019.11,0.0
P2P-6cc015hc,1,1.0,15000.0,1,15000.0,0.0
P2P-348274fn,1,1.0,21920.85,1,21920.85,0.0
P2P-57aace59,1,1.0,24483.41,1,24483.41,0.0
EmiMz0806,1,1.0,22163.88,1,22163.88,0.0
P2P-3478c3ar,1,2.0,3021.0,2,3021.0,29.416666666666668
P2P-d531f4lo,1,1.0,550.0,1,550.0,0.0
Secure-n-Fast,1,2.0,500.0,2,500.0,26.816666666666666
P2P-e95c93ib,1,1.0,250.76,1,250.76,0.0
P2P-4392104p,1,1.0,36722.29,1,36722.29,0.0
P2P-26235ct1,1,1.0,8000.0,1,8000.0,0.0
Impulsotrading,1,1.0,499.94,1,499.94,0.0
P2P-514552zt,1,1.0,10000.0,1,10000.0,0.0
Pochi08,1,1.0,23167.31,1,23167.31,0.0
P2P-df3c613r,1,1.0,10000.0,1,10000.0,0.0
P2P-06f7efvb,1,1.0,103.65,1,103.65,0.0
P2P-d4f4fdy2,1,1.0,17791.22,1,17791.22,0.0
P2P-5ff10350,1,1.0,22000.0,1,22000.0,0.0
P2P-c6e832b4,1,1.0,38000.0,1,38000.0,0.0
P2P-6a1e99fc,1,1.0,36000.0,1,36000.0,0.0
P2P-a0a640m2,1,1.0,22577.25,1,22577.25,0.0
P2P-d29332yr,1,1.0,5000.0,1,5000.0,0.0
P2P-91cd57bv,1,2.0,135881.94,2,135881.94,20.966666666666665
P2P-36741aps,1,1.0,22500.0,1,22500.0,0.0
Grox,1,1.0,4500.0,1,4500.0,0.0
Afrontora76,1,1.0,4440.0,1,4440.0,0.0
P2P-71d437r8,1,1.0,22000.0,1,22000.0,0.0
P2P-c485a9pu,1,1.0,20599.0,1,20599.0,0.0
Mi_Querencia,1,1.0,5580.0,1,5580.0,0.0
P2P-4ce019fq,1,1.0,6000.0,1,6000.0,0.0
P2P-3306a1ku,1,1.0,20510.88,1,20510.88,0.0
P2P-3a273e48,1,1.0,53000.0,1,53000.0,0.0
P2P-c5334f0i,1,1.0,300.0,1,300.0,0.0
P2P-b05de51u,1,1.0,8380.0,1,8380.0,0.0
SealExch,1,1.0,50000.0,1,50000.0,0.0
P2P-eadba4ij,1,2.0,44639.1,2,44639.1,20.2
P2P-8459c8gv,1,1.0,36885.0,1,36885.0,0.0
P2P-3d1176to,1,1.0,300.0,1,300.0,0.0
damianbusiness,1,1.0,692.7,1,692.7,0.0
El_Elias27,1,1.0,243.67,1,243.67,0.0
P2P-d08921gg,1,1.0,18200.0,1,18200.0,0.0
P2P-bf6eecot,1,1.0,53746.98,1,53746.98,0.0
P2P-5f6ce2pi,1,1.0,20000.0,1,20000.0,0.0
P2P-b2a813t4,1,1.0,13904.31,1,13904.31,0.0
Ganamosss,1,1.0,20000.0,1,20000.0,0.0
wyatt09,1,1.0,184.35,1,184.35,0.0
P2P-2f438e0q,1,1.0,5000.0,1,5000.0,0.0
P2P-b4646erv,1,1.0,26906.28,1,26906.28,0.0
COMANDOO,1,1.0,124.99,1,124.99,0.0
Mangri,1,1.0,8926.23,1,8926.23,0.0
AgusBonilla,1,1.0,7300.0,1,7300.0,0.0
CryptoMinds-,1,1.0,251.44,1,251.44,0.0
P2P-0b816fx6,1,4.0,36000.0,4,36000.0,71.25
P2P-6ca905rk,1,1.0,36270.9,1,36270.9,0.0
GroupSensei,1,1.0,291.0,1,291.0,0.0
P2P-b19fd5fi,1,1.0,330.0,1,330.0,0.0
JuanSH,1,1.0,8597.5,1,8597.5,0.0
P2P-72d623yb,1,1.0,53709.82,1,53709.82,0.0
P2P-563f92xu,1,1.0,22245.0,1,22245.0,0.0
P2P-e8dcc0hk,1,1.0,9400.0,1,9400.0,0.0
P2P-3e70287h,1,1.0,4000.0,1,4000.0,0.0
P2P-03da539f,1,2.0,37131.0,2,37131.0,31.4
Rodusdt,1,1.0,9038.25,1,9038.25,0.0
P2P-19e2a0cz,1,1.0,40000.0,1,40000.0,0.0
P2P-1be159ot,1,1.0,312.0,1,312.0,0.0
P2P-08526bn6,1,1.0,128.5,1,128.5,0.0
P2P-3a08f7i0,1,3.0,1498.0,3,1498.0,19.366666666666667
P2P-cc12c4gn,1,1.0,37769.5,1,37769.5,0.0
P2P-d77dc8fn,1,1.0,21500.0,1,21500.0,0.0
P2P-bee3bdla,1,1.0,15404.26,1,15404.26,0.0
P2P-43f9a3wy,1,1.0,15000.0,1,15000.0,0.0
P2P-3a7d63mw,1,1.0,21500.05,1,21500.05,0.0
P2P-5cee5cyo,1,1.0,6146.79,1,6146.79,0.0
P2P-7e01fcy9,1,1.0,9000.0,1,9000.0,0.0
P2P-f2820eag,1,1.0,40000.0,1,40000.0,0.0
P2P-9680313t,1,1.0,38000.0,1,38000.0,0.0
P2P-f75848v6,1,2.0,42620.0,2,42620.0,9.316666666666666
P2P-8d106fyd,1,1.0,200.0,1,200.0,0.0
P2P-daf17dok,1,1.0,37633.32,1,37633.32,0.0
P2P-3ed1d0yj,1,1.0,100.14,1,100.14,0.0
P2P-910f6dcw,1,1.0,23008.24,1,23008.24,0.0
P2P-ab01a3gj,1,1.0,51139.49,1,51139.49,0.0
P2P-ebb3acrk,1,1.0,675.25,1,675.25,0.0
P2P-ed4f615u,1,1.0,901.91,1,901.91,0.0
P2P-9b260fhn,1,1.0,4515.0,1,4515.0,0.0
Intercambio1979,1,1.0,5000.0,1,5000.0,0.0
P2P-c7cb37yq,1,1.0,18028.57,1,18028.57,0.0
P2P-701a759w,1,1.0,300.0,1,300.0,0.0
P2P-bd3d6dvi,1,1.0,22321.77,1,22321.77,0.0
juanisantana,1,2.0,600.0,2,600.0,18.9
P2P-b7b4983u,1,1.0,287.05,1,287.05,0.0
P2P-d78235zv,1,1.0,5000.0,1,5000.0,0.0
P2P-841799ih,1,1.0,109.71,1,109.71,0.0
P2P-3741d5ry,1,1.0,14713.15,1,14713.15,0.0
P2P-ae7b0fif,1,1.0,6000.0,1,6000.0,0.0
P2P-641ec0rg,1,1.0,13822.57,1,13822.57,0.0
P2P-b6719bc7,1,1.0,1220.11,1,1220.11,0.0
P2P-5466a6qe,1,1.0,97350.0,1,97350.0,0.0
P2P-11c417u1,1,1.0,38500.0,1,38500.0,0.0
P2P-80bba97v,1,1.0,5000.0,1,5000.0,0.0
P2P-9632d7u8,1,1.0,37481.12,1,37481.12,0.0
P2P-f410a8iv,1,1.0,22350.0,1,22350.0,0.0
P2P-ce4ce7bg,1,1.0,4000.0,1,4000.0,0.0
P2P-29ba96rr,1,2.0,41300.0,2,41300.0,37.36666666666667
P2P-abb7fctk,1,1.0,800.0,1,800.0,0.0
P2P-d14daccb,1,1.0,79955.0,1,79955.0,0.0
P2P-2c1484ty,1,1.0,37500.0,1,37500.0,0.0
P2P-9e4ea2sp,1,1.0,4012.0,1,4012.0,0.0
P2P-42e8a8f8,1,2.0,21000.0,2,21000.0,31.25
P2P-14f1f0rf,1,1.0,217.75,1,217.75,0.0
P2P-2f76f3gs,1,1.0,8300.0,1,8300.0,0.0
UruguayChange,1,1.0,22000.0,1,22000.0,0.0
P2P-c61f9dvk,1,1.0,20000.0,1,20000.0,0.0
P2P-ff54fa0s,1,1.0,14900.0,1,14900.0,0.0
P2P-45d812ud,1,1.0,200.0,1,200.0,0.0
P2P-3b1d6efv,1,1.0,63000.0,1,63000.0,0.0
P2P-a3e0664r,1,1.0,2000.0,1,2000.0,0.0
P2P-7aa470an,1,1.0,189.31,1,189.31,0.0
P2P-b46c86hw,1,1.0,37500.0,1,37500.0,0.0
P2P-abb861nd,1,1.0,15635.29,1,15635.29,0.0
P2P-394538ti,1,1.0,6757.87,1,6757.87,0.0
P2P-8d6bff1l,1,2.0,43850.0,2,43850.0,31.466666666666665
Candor2,1,1.0,101.05,1,101.05,0.0
P2P-9c5ee1d2,1,1.0,22000.0,1,22000.0,0.0
fbarrios,1,1.0,300.0,1,300.0,0.0
Marteen28,1,1.0,4000.0,1,4000.0,0.0
puppet02,1,1.0,2500.0,1,2500.0,0.0
P2P-81f0e1ru,1,1.0,9242.0,1,9242.0,0.0
P2P-a2db87jm,1,1.0,50000.0,1,50000.0,0.0
P2P-ccda2cht,1,1.0,6152.2,1,6152.2,0.0
P2P-24ad9axp,1,1.0,22610.51,1,22610.51,0.0
sobrino77,1,1.0,27000.0,1,27000.0,0.0
P2P-9b9f5fqt,1,1.0,6000.0,1,6000.0,0.0
Cryptoagil,1,2.0,1200.0,2,1200.0,0.8833333333333333
P2P-005858vl,1,1.0,21575.75,1,21575.75,0.0
P2P-bee590wy,1,1.0,200.0,1,200.0,0.0
P2P-e85c63xl,1,1.0,37441.07,1,37441.07,0.0
Elhombregsto,1,2.0,40000.0,2,40000.0,27.349999999999998
P2P-1b1b53o8,1,1.0,604.54,1,604.54,0.0
YahirAR,1,1.0,4000.0,1,4000.0,0.0
P2P-54417ch0,1,1.0,22802.28,1,22802.28,0.0
P2P-f979d8yq,1,1.0,216.45,1,216.45,0.0
facundo_cardona,1,1.0,7500.0,1,7500.0,0.0
P2P-55a4f41d,1,1.0,20599.0,1,20599.0,0.0
Juanmaster2002,1,1.0,117.83,1,117.83,0.0
P2P-96540dcm,1,1.0,16889.42,1,16889.42,0.0
P2P-eafc4fyo,1,1.0,26204.73,1,26204.73,0.0
P2P-3d94c5q9,1,1.0,6500.0,1,6500.0,0.0
P2P-b16270ur,1,1.0,156.72,1,156.72,0.0
P2P-4a4762je,1,1.0,6243.06,1,6243.06,0.0
P2P-36e2afdk,1,1.0,1209.38,1,1209.38,0.0
P2P-9bf649pi,1,2.0,75283.32,2,75283.32,84.58333333333333
AnaelaCRP,1,1.0,2300.0,1,2300.0,0.0
nacho9026,1,1.0,549.94,1,549.94,0.0
P2P-bca1f2lm,1,1.0,52000.0,1,52000.0,0.0
P2P-2e3e6fne,1,1.0,15000.0,1,15000.0,0.0
CriptoBarinas,1,1.0,8802.2,1,8802.2,0.0
PashaDeg,1,1.0,300.0,1,300.0,0.0
P2P-617b67s9,1,1.0,22462.07,1,22462.07,0.0
Zyskie,1,1.0,16000.0,1,16000.0,0.0
P2P-e097b84k,1,1.0,21700.0,1,21700.0,0.0
P2P-34593exm,1,1.0,59500.0,1,59500.0,0.0
P2P-a1fc8bta,1,1.0,488.68,1,488.68,0.0
P2P-79dedcwc,1,1.0,46953.0,1,46953.0,0.0
chelo,1,1.0,1000.0,1,1000.0,0.0
P2P-ca4e98ut,1,1.0,80334.7,1,80334.7,0.0
P2P-f8a5fcbs,1,1.0,15000.0,1,15000.0,0.0
P2P-1c3aebzm,1,1.0,150.0,1,150.0,0.0
Agucrypto,1,1.0,6655.0,1,6655.0,0.0
P2P-9e22817n,1,1.0,8792.19,1,8792.19,0.0
P2P-e30816to,1,1.0,8854.41,1,8854.41,0.0
P2P-ee3e94uv,1,1.0,32060.34,1,32060.34,0.0
GerryARUY,1,1.0,300.0,1,300.0,0.0
P2P-ec17d7ic,1,1.0,191.18,1,191.18,0.0
P2P-9fed50t7,1,1.0,10000.0,1,10000.0,0.0
