asset_type,total_fees_collected,avg_fee_per_op,num_ops_with_fees,max_fee
BUSD,5240544.9772,75949.9272057971,63,1148845.586
USDT,10087.78999999995,1.7543982608695565,5612,24.46
BTC,8339.032,85.09216326530611,97,925.0
ETH,2510.814,119.56257142857142,18,588.0
