asset_type,order_type,operations,quantity,total_fiat,total_fees
USDT,Sell,4255,2906425.2299999413,34064688.09000001,6993.430000000015
USDT,Buy,1495,1212122.3299999968,3690774.0500000063,3094.360000000002
BUSD,Buy,64,2068427285.955,144508.46000000005,4923101.3172
BTC,Buy,98,185814.371,125296.73000000004,8339.032
BUSD,Sell,5,168021451.48700005,24205.21,317443.66
ETH,Buy,21,747681.0560000001,20005.99,2510.814
