Counterparty,payment_method,operations_with_method,volume_with_method,avg_volume_with_method,total_operations_cp,total_volume_cp,pct_operations,pct_volume
P2P-00b39ame,ItauUruguay,1,9000.0,9000.0,1,9000.0,100.0,100.0
P2P-00f2add1,ItauUruguay,1,320.64,320.64,1,320.64,100.0,100.0
P2P-03da539f,BBVAUruguay,1,4700.0,4700.0,2,37131.0,50.0,12.657886940831112
P2P-03da539f,ScotiabankUruguay,1,32431.0,32431.0,2,37131.0,50.0,87.3421130591689
P2P-052d3ebx,OcaBlue,1,36982.77,36982.77,1,36982.77,100.0,100.0
P2P-05a3a5lu,OcaBlue,1,1810.0,1810.0,1,1810.0,100.0,100.0
P2P-06cf0eb7,SantanderUrug,1,23074.74,23074.74,1,23074.74,100.0,100.0
P2P-06f7efvb,ItauUruguay,1,103.65,103.65,1,103.65,100.0,100.0
P2P-08526bn6,ItauUruguay,1,128.5,128.5,1,128.5,100.0,100.0
P2P-08843cu6,ItauUruguay,1,5000.0,5000.0,1,5000.0,100.0,100.0
P2P-08e03fsv,ItauUruguay,1,403.3,403.3,1,403.3,100.0,100.0
P2P-09ee271f,ItauUruguay,1,21150.0,21150.0,1,21150.0,100.0,100.0
P2P-0b1d2exa,OcaBlue,1,1894.53,1894.53,1,1894.53,100.0,100.0
P2P-0b816fx6,OcaBlue,4,36000.0,9000.0,4,36000.0,100.0,100.0
P2P-0c9aaaxh,ItauUruguay,1,8200.0,8200.0,1,8200.0,100.0,100.0
P2P-0dc8a3t7,OcaBlue,2,132000.0,66000.0,3,225500.0,66.66666666666666,58.536585365853654
P2P-0dc8a3t7,BBVAUruguay,1,93500.0,93500.0,3,225500.0,33.33333333333333,41.46341463414634
P2P-0f33c4lb,BBVAUruguay,1,500.0,500.0,1,500.0,100.0,100.0
P2P-11c417u1,ItauUruguay,1,38500.0,38500.0,1,38500.0,100.0,100.0
P2P-13997bfq,BankRepublicUruguay,1,8000.0,8000.0,1,8000.0,100.0,100.0
P2P-14f1f0rf,ItauUruguay,1,217.75,217.75,1,217.75,100.0,100.0
P2P-1592ddyd,ItauUruguay,2,59800.0,29900.0,2,59800.0,100.0,100.0
P2P-1659ee7f,ItauUruguay,1,22335.28,22335.28,1,22335.28,100.0,100.0
P2P-16d3d2ak,SantanderUrug,1,201.01,201.01,1,201.01,100.0,100.0
P2P-16f9f8zi,OcaBlue,1,14042.34,14042.34,1,14042.34,100.0,100.0
P2P-1796acve,ItauUruguay,1,10000.0,10000.0,1,10000.0,100.0,100.0
P2P-17e72ffv,OcaBlue,4,64442.619999999995,16110.654999999999,4,64442.619999999995,100.0,100.0
P2P-17fcd4oz,OcaBlue,1,171.4,171.4,1,171.4,100.0,100.0
P2P-181cf8np,ItauUruguay,2,86000.0,43000.0,2,86000.0,100.0,100.0
P2P-19e2a0cz,ItauUruguay,1,40000.0,40000.0,1,40000.0,100.0,100.0
P2P-1b1b53o8,BankRepublicUruguay,1,604.54,604.54,1,604.54,100.0,100.0
P2P-1b8044xb,ItauUruguay,1,24052.83,24052.83,1,24052.83,100.0,100.0
P2P-1be159ot,BBVAUruguay,1,312.0,312.0,1,312.0,100.0,100.0
P2P-1c3aebzm,ItauUruguay,1,150.0,150.0,1,150.0,100.0,100.0
P2P-1e1fb6k0,ItauUruguay,1,53240.33,53240.33,1,53240.33,100.0,100.0
P2P-1eb491ug,ItauUruguay,1,1033.0,1033.0,1,1033.0,100.0,100.0
P2P-1fd30axl,ItauUruguay,1,2000.0,2000.0,1,2000.0,100.0,100.0
P2P-2060e2pw,SantanderUrug,1,5000.0,5000.0,1,5000.0,100.0,100.0
P2P-20ef4338,SantanderUrug,10,263082.0,26308.2,10,263082.0,100.0,100.0
P2P-21c2c6qo,ItauUruguay,1,4562.28,4562.28,1,4562.28,100.0,100.0
P2P-21d728gd,SantanderUrug,1,37441.07,37441.07,1,37441.07,100.0,100.0
P2P-2497cbv2,BBVAUruguay,1,38412.0,38412.0,1,38412.0,100.0,100.0
P2P-24ad9axp,SantanderUrug,1,22610.51,22610.51,1,22610.51,100.0,100.0
P2P-26235ct1,BBVAUruguay,1,8000.0,8000.0,1,8000.0,100.0,100.0
P2P-26e006xl,OcaBlue,1,60000.0,60000.0,1,60000.0,100.0,100.0
P2P-26e237vv,SantanderUrug,1,4000.0,4000.0,1,4000.0,100.0,100.0
P2P-2815b9b6,OcaBlue,1,11381.44,11381.44,1,11381.44,100.0,100.0
P2P-2912c707,SantanderUrug,3,48500.0,16166.666666666666,3,48500.0,100.0,100.0
P2P-295fdcys,ItauUruguay,1,18000.0,18000.0,1,18000.0,100.0,100.0
P2P-296841xk,ScotiabankUruguay,3,58814.479999999996,19604.826666666664,3,58814.479999999996,100.0,100.0
P2P-2974e3qc,SantanderUrug,1,8435.91,8435.91,2,17046.059999999998,50.0,49.488914153769265
P2P-2974e3qc,ScotiabankUruguay,1,8610.15,8610.15,2,17046.059999999998,50.0,50.51108584623075
P2P-29ba96rr,BBVAUruguay,2,41300.0,20650.0,2,41300.0,100.0,100.0
P2P-2b04dcyl,OcaBlue,1,8000.0,8000.0,1,8000.0,100.0,100.0
P2P-2b82cbiz,SantanderUrug,1,205.82,205.82,1,205.82,100.0,100.0
P2P-2bb599rx,BBVAUruguay,3,30000.0,10000.0,3,30000.0,100.0,100.0
P2P-2c1484ty,ItauUruguay,1,37500.0,37500.0,1,37500.0,100.0,100.0
P2P-2c9a22fw,OcaBlue,4,136751.62,34187.905,4,136751.62,100.0,100.0
P2P-2caf952c,SantanderUrug,1,21789.0,21789.0,1,21789.0,100.0,100.0
P2P-2d243a5d,SantanderUrug,8,409307.29,51163.41125,8,409307.29,100.0,100.0
P2P-2d5b05es,OcaBlue,1,30414.1,30414.1,1,30414.1,100.0,100.0
P2P-2e3e6fne,SantanderUrug,1,15000.0,15000.0,1,15000.0,100.0,100.0
P2P-2e4c1f9q,ScotiabankUruguay,4,151974.88999999998,37993.722499999996,4,151974.88999999998,100.0,100.0
P2P-2eea6665,ItauUruguay,5,129000.0,25800.0,5,129000.0,100.0,100.0
P2P-2efb3agn,ItauUruguay,1,117000.0,117000.0,1,117000.0,100.0,100.0
P2P-2f1f56dq,BBVAUruguay,1,50000.0,50000.0,2,100000.0,50.0,50.0
P2P-2f1f56dq,ItauUruguay,1,50000.0,50000.0,2,100000.0,50.0,50.0
P2P-2f438e0q,OcaBlue,1,5000.0,5000.0,1,5000.0,100.0,100.0
P2P-2f4b64dy,OcaBlue,1,33000.0,33000.0,1,33000.0,100.0,100.0
P2P-2f76f3gs,ItauUruguay,1,8300.0,8300.0,1,8300.0,100.0,100.0
P2P-305b9ajr,ItauUruguay,1,1000.0,1000.0,1,1000.0,100.0,100.0
P2P-306869s8,SantanderUrug,1,16000.0,16000.0,1,16000.0,100.0,100.0
P2P-316feaqf,OcaBlue,1,37841.6,37841.6,2,75683.2,50.0,50.0
P2P-316feaqf,BBVAUruguay,1,37841.6,37841.6,2,75683.2,50.0,50.0
P2P-31cab5ok,BBVAUruguay,1,44000.0,44000.0,1,44000.0,100.0,100.0
P2P-320874cy,SantanderUrug,3,22402.16,7467.386666666666,3,22402.16,100.0,100.0
P2P-3306a1ku,OcaBlue,1,20510.88,20510.88,1,20510.88,100.0,100.0
P2P-3312c2kp,ItauUruguay,1,120.66,120.66,1,120.66,100.0,100.0
P2P-334f26xr,SantanderUrug,2,17726.0,8863.0,2,17726.0,100.0,100.0
P2P-3380aeeq,BBVAUruguay,1,5500.0,5500.0,1,5500.0,100.0,100.0
P2P-344833ni,OcaBlue,2,28914.96,14457.48,2,28914.96,100.0,100.0
P2P-34593exm,ItauUruguay,1,59500.0,59500.0,1,59500.0,100.0,100.0
P2P-3478c3ar,OcaBlue,2,3021.0,1510.5,2,3021.0,100.0,100.0
P2P-348274fn,OcaBlue,1,21920.85,21920.85,1,21920.85,100.0,100.0
P2P-36741aps,ItauUruguay,1,22500.0,22500.0,1,22500.0,100.0,100.0
P2P-36e075lt,SantanderUrug,1,22320.0,22320.0,1,22320.0,100.0,100.0
P2P-36e2afdk,BankRepublicUruguay,1,1209.38,1209.38,1,1209.38,100.0,100.0
P2P-3700b1lf,SantanderUrug,1,22800.0,22800.0,1,22800.0,100.0,100.0
P2P-3741d5ry,ScotiabankUruguay,1,14713.15,14713.15,1,14713.15,100.0,100.0
P2P-3804d0yt,SantanderUrug,1,13800.0,13800.0,1,13800.0,100.0,100.0
P2P-386486ut,BBVAUruguay,1,5001.75,5001.75,1,5001.75,100.0,100.0
P2P-394538ti,BBVAUruguay,1,6757.87,6757.87,1,6757.87,100.0,100.0
P2P-39d1bcn0,BBVAUruguay,2,22000.0,11000.0,2,22000.0,100.0,100.0
P2P-3a08f7i0,BBVAUruguay,3,1498.0,499.3333333333333,3,1498.0,100.0,100.0
P2P-3a273e48,ItauUruguay,1,53000.0,53000.0,1,53000.0,100.0,100.0
P2P-3a7d63mw,BBVAUruguay,1,21500.05,21500.05,1,21500.05,100.0,100.0
P2P-3abea9xc,ItauUruguay,1,11110.0,11110.0,1,11110.0,100.0,100.0
P2P-3b1d6efv,OcaBlue,1,63000.0,63000.0,1,63000.0,100.0,100.0
P2P-3b48abgq,ItauUruguay,3,57367.22,19122.406666666666,3,57367.22,100.0,100.0
P2P-3b608b66,ScotiabankUruguay,1,12576.22,12576.22,1,12576.22,100.0,100.0
P2P-3ba6absy,ItauUruguay,1,4900.0,4900.0,1,4900.0,100.0,100.0
P2P-3ca1005g,OcaBlue,1,37545.21,37545.21,1,37545.21,100.0,100.0
P2P-3ccfc2kp,ItauUruguay,1,489.99,489.99,1,489.99,100.0,100.0
P2P-3ceb7abv,ItauUruguay,1,10000.0,10000.0,1,10000.0,100.0,100.0
P2P-3d1176to,BBVAUruguay,1,300.0,300.0,1,300.0,100.0,100.0
P2P-3d94c5q9,SantanderUrug,1,6500.0,6500.0,1,6500.0,100.0,100.0
P2P-3db9b5mh,OcaBlue,2,99000.0,49500.0,2,99000.0,100.0,100.0
P2P-3dca90jq,BBVAUruguay,1,736.32,736.32,1,736.32,100.0,100.0
P2P-3e70287h,SantanderUrug,1,4000.0,4000.0,1,4000.0,100.0,100.0
P2P-3ed1d0yj,Prex,1,100.14,100.14,1,100.14,100.0,100.0
P2P-3f4b87hq,OcaBlue,1,8805.0,8805.0,1,8805.0,100.0,100.0
P2P-3f709fmu,OcaBlue,1,18905.0,18905.0,2,24035.0,50.0,78.65612648221344
P2P-3f709fmu,SantanderUrug,1,5130.0,5130.0,2,24035.0,50.0,21.34387351778656
P2P-40f1cfdx,ScotiabankUruguay,1,18058.69,18058.69,1,18058.69,100.0,100.0
P2P-413ceagy,BankRepublicUruguay,1,151.68,151.68,1,151.68,100.0,100.0
P2P-416c79m4,SantanderUrug,1,23257.44,23257.44,1,23257.44,100.0,100.0
P2P-425d58sx,SantanderUrug,1,21870.0,21870.0,1,21870.0,100.0,100.0
P2P-426ff1qp,OcaBlue,4,74310.92,18577.73,5,90290.92,80.0,82.30165336669512
P2P-426ff1qp,BBVAUruguay,1,15980.0,15980.0,5,90290.92,20.0,17.69834663330488
P2P-42cd17nn,ScotiabankUruguay,1,10000.0,10000.0,1,10000.0,100.0,100.0
P2P-42e8a8f8,ScotiabankUruguay,2,21000.0,10500.0,2,21000.0,100.0,100.0
P2P-43253b0t,ItauUruguay,2,409.8,204.9,2,409.8,100.0,100.0
P2P-437910jt,OcaBlue,2,18655.3,9327.65,2,18655.3,100.0,100.0
P2P-4392104p,SantanderUrug,1,36722.29,36722.29,1,36722.29,100.0,100.0
P2P-43f9a3wy,OcaBlue,1,15000.0,15000.0,1,15000.0,100.0,100.0
P2P-457943cp,SantanderUrug,2,799.6600000000001,399.83000000000004,2,799.6600000000001,100.0,100.0
P2P-45c2907o,BBVAUruguay,2,18000.0,9000.0,2,18000.0,100.0,100.0
P2P-45d812ud,ItauUruguay,1,200.0,200.0,1,200.0,100.0,100.0
P2P-4781f7mx,OcaBlue,1,50000.0,50000.0,1,50000.0,100.0,100.0
P2P-47b886qt,ScotiabankUruguay,1,2000.0,2000.0,1,2000.0,100.0,100.0
P2P-497a2as0,OcaBlue,1,10000.0,10000.0,1,10000.0,100.0,100.0
P2P-4a4762je,SantanderUrug,1,6243.06,6243.06,1,6243.06,100.0,100.0
P2P-4b523csi,ItauUruguay,1,110.0,110.0,1,110.0,100.0,100.0
P2P-4b8ad0ug,ItauUruguay,1,5000.0,5000.0,1,5000.0,100.0,100.0
P2P-4ce019fq,SantanderUrug,1,6000.0,6000.0,1,6000.0,100.0,100.0
P2P-4f49c1qz,ItauUruguay,1,5000.0,5000.0,1,5000.0,100.0,100.0
P2P-500294mc,ItauUruguay,1,74586.0,74586.0,1,74586.0,100.0,100.0
P2P-50f276ng,BankRepublicUruguay,1,10000.0,10000.0,1,10000.0,100.0,100.0
P2P-514552zt,ItauUruguay,1,10000.0,10000.0,1,10000.0,100.0,100.0
P2P-516e5080,OcaBlue,3,112852.98000000001,37617.66,3,112852.98000000001,100.0,100.0
P2P-5190edir,OcaBlue,2,45914.69,22957.345,2,45914.69,100.0,100.0
P2P-52128egr,ItauUruguay,1,47000.0,47000.0,1,47000.0,100.0,100.0
P2P-522596a7,ItauUruguay,1,19000.0,19000.0,1,19000.0,100.0,100.0
P2P-5249e3nq,SantanderUrug,2,107349.84,53674.92,2,107349.84,100.0,100.0
P2P-52d73dld,SantanderUrug,2,400.0,200.0,2,400.0,100.0,100.0
P2P-52dcddtt,OcaBlue,5,103066.17,20613.234,5,103066.17,100.0,100.0
P2P-53408c34,ScotiabankUruguay,3,49022.549999999996,16340.849999999999,3,49022.549999999996,100.0,100.0
P2P-53b0604u,BBVAUruguay,1,21900.0,21900.0,1,21900.0,100.0,100.0
P2P-53f3883o,ItauUruguay,1,285.0,285.0,1,285.0,100.0,100.0
P2P-540afaog,OcaBlue,2,33500.0,16750.0,2,33500.0,100.0,100.0
P2P-54417ch0,OcaBlue,1,22802.28,22802.28,1,22802.28,100.0,100.0
P2P-54468f6a,OcaBlue,1,63000.0,63000.0,1,63000.0,100.0,100.0
P2P-5466a6qe,SantanderUrug,1,97350.0,97350.0,1,97350.0,100.0,100.0
P2P-5485474r,ItauUruguay,1,55377.21,55377.21,1,55377.21,100.0,100.0
P2P-549f87mf,SantanderUrug,1,55092.97,55092.97,1,55092.97,100.0,100.0
P2P-55a4f41d,BBVAUruguay,1,20599.0,20599.0,1,20599.0,100.0,100.0
P2P-55cdd7ej,OcaBlue,2,31048.0,15524.0,2,31048.0,100.0,100.0
P2P-563f92xu,ItauUruguay,1,22245.0,22245.0,1,22245.0,100.0,100.0
P2P-57aace59,ItauUruguay,1,24483.41,24483.41,1,24483.41,100.0,100.0
P2P-582794jb,OcaBlue,2,65400.0,32700.0,2,65400.0,100.0,100.0
P2P-585bfaic,SantanderUrug,1,37633.32,37633.32,1,37633.32,100.0,100.0
P2P-58e04dzw,ItauUruguay,1,413.09,413.09,1,413.09,100.0,100.0
P2P-5b2530bj,SantanderUrug,1,6056.23,6056.23,1,6056.23,100.0,100.0
P2P-5c9cd3eq,ItauUruguay,1,1299.73,1299.73,1,1299.73,100.0,100.0
P2P-5cee5cyo,ItauUruguay,1,6146.79,6146.79,1,6146.79,100.0,100.0
P2P-5d1cfc18,SantanderUrug,2,46850.0,23425.0,2,46850.0,100.0,100.0
P2P-5d7a64dj,ItauUruguay,2,584.75,292.375,2,584.75,100.0,100.0
P2P-5dcb70xu,SantanderUrug,1,38355.86,38355.86,1,38355.86,100.0,100.0
P2P-5ddaa7qs,OcaBlue,1,4154.92,4154.92,1,4154.92,100.0,100.0
P2P-5de988uv,ItauUruguay,1,100.0,100.0,2,26826.22,50.0,0.37276962613443115
P2P-5de988uv,SantanderUrug,1,26726.22,26726.22,2,26826.22,50.0,99.62723037386557
P2P-5f308diy,OcaBlue,1,13718.95,13718.95,1,13718.95,100.0,100.0
P2P-5f6ce2pi,ItauUruguay,1,20000.0,20000.0,1,20000.0,100.0,100.0
P2P-5ff10350,ItauUruguay,1,22000.0,22000.0,1,22000.0,100.0,100.0
P2P-610493l6,ScotiabankUruguay,2,79463.16,39731.58,2,79463.16,100.0,100.0
P2P-616866pt,BBVAUruguay,1,19750.0,19750.0,1,19750.0,100.0,100.0
P2P-617b67s9,BBVAUruguay,1,22462.07,22462.07,1,22462.07,100.0,100.0
P2P-62b1d38x,SantanderUrug,1,23402.34,23402.34,1,23402.34,100.0,100.0
P2P-63b24ckm,BBVAUruguay,1,21000.0,21000.0,1,21000.0,100.0,100.0
P2P-63e1aaj2,BBVAUruguay,2,21080.940000000002,10540.470000000001,2,21080.940000000002,100.0,100.0
P2P-641ec0rg,SantanderUrug,1,13822.57,13822.57,1,13822.57,100.0,100.0
P2P-64f581sr,OcaBlue,1,13306.41,13306.41,1,13306.41,100.0,100.0
P2P-688f27in,ItauUruguay,1,18932.03,18932.03,1,18932.03,100.0,100.0
P2P-6a1e99fc,OcaBlue,1,36000.0,36000.0,1,36000.0,100.0,100.0
P2P-6a9e59sy,OcaBlue,1,4494.5,4494.5,1,4494.5,100.0,100.0
P2P-6aed9d74,SantanderUrug,1,10000.0,10000.0,1,10000.0,100.0,100.0
P2P-6b3180cp,OcaBlue,3,3549.17,1183.0566666666666,3,3549.17,100.0,100.0
P2P-6b396dkn,OcaBlue,1,55802.25,55802.25,1,55802.25,100.0,100.0
P2P-6b5571x4,BBVAUruguay,1,1500.0,1500.0,1,1500.0,100.0,100.0
P2P-6ba210ay,OcaBlue,2,18000.0,9000.0,2,18000.0,100.0,100.0
P2P-6bd909ei,OcaBlue,1,66000.0,66000.0,1,66000.0,100.0,100.0
P2P-6c79d2ws,SantanderUrug,1,14704.85,14704.85,1,14704.85,100.0,100.0
P2P-6ca905rk,ItauUruguay,1,36270.9,36270.9,1,36270.9,100.0,100.0
P2P-6cc015hc,ItauUruguay,1,15000.0,15000.0,1,15000.0,100.0,100.0
P2P-6d8bf5k5,SantanderUrug,1,325.01,325.01,1,325.01,100.0,100.0
