date,drawdown
2022-04-06,
2022-04-12,0.0
2022-04-24,-0.0020000000000000018
2022-04-29,0.0
2022-04-30,-0.0031645569620254443
2022-05-01,-0.0031645569620254443
2022-05-12,-0.06613924050632936
2022-05-13,-0.06582278481012682
2022-05-24,-0.08860759493670911
2022-05-25,-0.08860759493670911
2022-07-06,-0.06962025316455733
2022-07-08,-0.07436708860759522
2022-07-10,-0.08670886075949402
2022-07-25,0.0
2022-07-28,-0.045454545454545525
2022-07-29,-0.047272727272727244
2022-08-02,-0.046363636363636385
2022-08-03,-0.056363636363636394
2022-08-04,-0.06404040404040412
2022-08-05,-0.05623376623376619
2022-08-06,0.0
2022-08-08,-0.9926904445604692
2022-08-09,-0.9926509334499852
2022-08-10,-0.9928668334465582
2022-08-11,-0.9926181251171726
2022-08-12,-0.9927445371522031
2022-08-13,-0.9926904445604692
2022-08-14,-0.9925122917855193
2022-08-15,-0.9929283175725664
2022-08-16,-0.9929373890009938
2022-08-17,0.0
2022-08-18,-0.9979265298847066
2022-08-19,-0.9978925459503303
2022-08-20,-0.9978839937019442
2022-08-22,-0.9979089752695983
2022-08-23,-0.997895471719515
2022-08-24,-0.9979435781166869
2022-08-25,-0.9978681270305964
2022-08-26,-0.9979187653434087
2022-08-27,-0.9980251058003149
2022-08-29,-0.9978879772492187
2022-08-30,-0.9979231539971858
2022-08-31,-0.9978799426369193
2022-09-01,-0.9978721780956213
2022-09-02,-0.99797707174359
2022-09-03,-0.9979167398108962
2022-09-04,-0.997854285891761
2022-09-05,-0.9978333553891318
2022-09-06,-0.997903700445347
2022-09-07,-0.9978961468970192
2022-09-08,-0.9979177525771525
2022-09-09,-0.997927880239715
2022-09-10,-0.9978225525490652
2022-09-11,-0.9978022972239401
2022-09-12,-0.997858201921285
2022-09-13,-0.9978650887318276
2022-09-14,-0.9978912181012388
2022-09-15,-0.9979050929989494
2022-09-16,-0.99789142065449
2022-09-17,-0.9980048504751899
2022-09-18,-0.9980656164505648
2022-09-19,-0.9978974972520275
2022-09-20,-0.9979054152427582
2022-09-21,-0.9979145117251325
2022-09-22,-0.9979650150024441
2022-09-23,-0.9979050929989494
2022-09-24,-0.9978853440569525
2022-09-26,-0.997895471719515
2022-09-27,-0.9978022972239401
2022-09-28,-0.9979015483170525
2022-09-29,-0.997919778109665
2022-09-30,-0.9979569742521672
2022-10-01,-0.9979192717265368
2022-10-02,-0.9980362462291336
2022-10-03,0.0
2022-10-04,-0.99959311404082
2022-10-05,0.0
2022-10-06,-0.9997047672222207
2022-10-07,-0.9997352189974078
2022-10-08,-0.9997353169918572
2022-10-09,-0.9997194418910357
2022-10-10,-0.9997352189974078
2022-10-11,-0.9997351210029582
2022-10-12,-0.9997126312767943
2022-10-13,0.0
2022-10-14,-0.9998105692174137
2022-10-15,-0.9998104640365238
2022-10-16,-0.9998104640365238
2022-10-17,-0.9998104640365238
2022-10-18,-0.9998104640365238
2022-10-19,-0.9997937402750408
2022-10-21,-0.10219049195282537
2022-10-22,-0.9998104640365238
2022-10-23,-0.9998104640365238
2022-10-24,-0.9998104640365238
2022-10-25,0.0
2022-10-26,-0.9998278091914345
2022-10-27,-0.9998278091914345
2022-10-30,-0.9998278091914345
2022-10-31,-0.9998278091914345
2022-11-01,-0.9998278091914345
2022-11-02,-0.9998278091914345
2022-11-03,-0.9998278091914345
2022-11-04,-0.999819209206545
2022-11-08,-0.9998184447634437
2022-11-09,-0.9998184447634437
2022-11-10,-0.9998041114552946
2022-11-11,-0.9998270447483333
2022-11-12,-0.9997974225781583
2022-11-13,-0.999807678856434
2022-11-14,-0.9998203080935032
2022-11-15,-0.9998008625721141
2022-11-16,-0.9998084114477394
2022-11-17,-0.9998078858931072
2022-11-18,-0.9998053536753342
2022-11-19,-0.9997995247966869
2022-11-20,-0.999814431437162
2022-11-21,-0.9998155781018139
2022-11-22,-0.9997997159074622
2022-11-23,-0.9642162273178645
2022-11-25,-0.9137278182501002
2022-11-26,-0.9998175847649547
2022-11-27,-0.9998309625192273
2022-11-28,-0.999819495872708
2022-11-29,-0.9998461558258654
2022-11-30,-0.9998315677033492
2022-12-01,-0.9503011173227863
2022-12-02,-0.9998244647528665
2022-12-03,-0.9997997159074622
2022-12-04,-0.999820355871197
2022-12-05,-0.9998109914432062
2022-12-06,-0.98176591070464
2022-12-07,-0.9857869299301579
2022-12-08,-0.9998058951558643
2022-12-09,-0.9998058102177418
2022-12-10,-0.9998006714613388
2022-12-11,-0.9998036336783562
2022-12-12,-0.9998033470121933
2022-12-13,-0.9998142403263867
2022-12-15,-0.9998069207836918
2022-12-16,-0.9998012447936647
2022-12-19,-0.9563342933889379
2022-12-20,-0.9998222032753584
2022-12-21,-0.9379011017026673
2022-12-23,-0.9998270447483333
2022-12-24,-0.9998270447483333
2022-12-26,-0.9998130936617348
2022-12-28,-0.999814431437162
2022-12-29,-0.8251336405800306
2022-12-30,-0.9998125203294087
2022-12-31,-0.9998134758832854
2023-01-01,0.0
2023-01-02,-0.9842788341034283
2023-01-03,-0.9999364550800819
2023-01-04,-0.9999359524940189
2023-01-05,-0.8544160884242195
2023-01-06,-0.9999360598842033
2023-01-08,0.0
2023-01-09,-0.9878754425349465
2023-01-10,-0.8732244242174171
2023-01-11,-0.9999386033989901
2023-01-12,-0.9999388508412107
2023-01-13,-0.7967170190965355
2023-01-14,-0.9999391292137091
2023-01-15,-0.9999403045642573
2023-01-16,-0.9999392116944492
2023-01-17,-0.9999389745623211
2023-01-18,-0.9912738926452473
2023-01-19,-0.9999394075862074
