fiat_type,order_type,operations,total_fiat,avg_price,total_fees
UYU,Sell,1768,31808282.5,43.616459276018404,6326.2840000000115
UYU,Buy,291,2680791.760000001,9372.3006185567,101569.32
USD,Sell,2492,2280610.7999999984,1.0431468699839386,318110.8060000014
USD,Buy,1387,1299793.4699999979,3169.173637346793,4835476.203199988
