YearMonthStr,monthly_ops
2022-04,209
2022-05,200
2022-06,230
2022-07,62
2022-08,157
2022-09,195
2022-10,117
2022-11,113
2022-12,150
2023-01,116
2023-02,59
2023-03,74
2023-04,86
2023-05,153
2023-06,212
2023-07,164
2023-08,136
2023-09,137
2023-10,261
2023-11,396
2023-12,508
2024-01,241
2024-02,181
2024-03,232
2024-04,203
2024-05,191
2024-06,64
2024-07,75
2024-08,47
2024-09,7
2024-10,22
2024-12,10
2025-01,3
2025-03,325
2025-04,397
2025-05,205
