date,drawdown
2022-04-06,
2022-04-07,0.0
2022-04-08,-0.03776160145586904
2022-04-09,0.0
2022-04-10,-0.05681818181818177
2022-04-11,-0.011398601398601382
2022-04-12,-0.010333333333333306
2022-04-13,-0.022202797202797164
2022-04-14,-0.02056818181818154
2022-04-15,-0.038621212121212056
2022-04-16,-0.055909090909090686
2022-04-17,-0.06704545454545441
2022-04-18,0.0
2022-04-19,-0.057840909090909
2022-04-20,-0.022727272727272818
2022-04-21,-0.022727272727272818
2022-04-23,-0.049720279720279925
2022-04-24,-0.02727272727272767
2022-04-25,-0.02840909090909105
2022-04-26,-0.03787081339712961
2022-04-27,-0.029772727272727617
2022-04-28,-0.04515151515151561
2022-04-29,-0.044062500000000226
2022-04-30,-0.020318181818182235
2022-05-01,0.0
2022-05-02,-0.036644704456814
2022-05-03,-0.05668522094740436
2022-05-06,-0.01824378052936515
2022-05-07,-0.002612745654890669
2022-05-08,-0.024934681358627864
2022-05-09,0.0
2022-05-10,-0.01053590330600862
2022-05-11,-0.052035382254715934
2022-05-12,-0.040436862532719386
2022-05-13,-0.007281042211992439
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,-0.054078042286113015
2022-05-17,-0.051700637144578065
2022-05-18,-0.04501220401306005
2022-05-19,-0.046089961010555625
2022-05-20,-0.07637810251370969
2022-05-22,-0.10111896535328246
2022-05-23,-0.13462452848131368
2022-05-24,-0.14120729916209673
2022-05-25,-0.11113017178849849
2022-05-26,-0.1163185088914952
2022-05-27,-0.07304973531556103
2022-05-28,-0.09665340602909955
2022-05-29,-0.07493581006117866
2022-05-30,-0.10189558436618384
2022-05-31,-0.0976241797952263
2022-06-01,-0.08940311281579882
2022-06-03,-0.06384125273401609
2022-06-04,-0.06455130440295442
2022-06-05,-0.09503914793799728
2022-06-06,-0.07858116461153208
2022-06-07,-0.0798420698569684
2022-06-08,-0.0931308840777254
2022-06-09,-0.09673045156609372
2022-06-10,-0.11216914445113646
2022-06-11,-0.08012806289029084
