date,return
2022-04-06,
2022-04-12,-0.031945788964181876
2022-04-24,-0.0020000000000000018
2022-04-29,0.055444221776887126
2022-04-30,-0.0031645569620254443
2022-05-01,0.0
2022-05-12,-0.06317460317460322
2022-05-13,0.0003388681802778404
2022-05-24,-0.024390243902439046
2022-05-25,0.0
2022-07-06,0.02083333333333326
2022-07-08,-0.005102040816326481
2022-07-10,-0.013333333333333308
2022-07-25,0.14345114345114363
2022-07-28,-0.045454545454545525
2022-07-29,-0.0019047619047618536
2022-08-02,0.000954198473282375
2022-08-03,-0.010486177311725409
2022-08-04,-0.008135302932990807
2022-08-05,0.00834078505133995
2022-08-06,135.52483831016926
2022-08-08,-0.9926904445604692
2022-08-09,0.005405405405405128
2022-08-10,-0.029377880184331517
2022-08-11,0.034866468842730036
2022-08-12,-0.01712465153325382
2022-08-13,0.007455429497568833
2022-08-14,0.02437258687258681
2022-08-15,-0.05556116439508674
2022-08-16,-0.0012827822120866639
2022-08-17,492.2041292041293
2022-08-18,-0.9979265298847066
2022-08-19,0.016389883859763366
2022-08-20,0.004058094831268955
2022-08-22,-0.011805998723676048
2022-08-23,0.006457862447529772
2022-08-24,-0.022858517805582235
2022-08-25,0.0366904703275055
2022-08-26,-0.02375296912114022
2022-08-27,-0.05109489051094884
2022-08-29,0.06943589743589751
2022-08-30,-0.016655477766055915
2022-08-31,0.020806241872561637
2022-09-01,0.0036624203821655765
2022-09-02,-0.04929625348473532
2022-09-03,0.02982405950507805
2022-09-04,0.029978933722249357
2022-09-05,0.009754562617998452
2022-09-06,-0.032467279526332216
2022-09-07,0.003603277170521668
2022-09-08,-0.010269576379974499
2022-09-09,-0.004863813229571856
2022-09-10,0.050830889540566915
2022-09-11,0.009302325581395321
2022-09-12,-0.025437788018433216
2022-09-13,-0.003215434083601143
2022-09-14,-0.012239089184061025
2022-09-15,-0.006579579291134174
2022-09-16,0.006526468455402501
2022-09-17,-0.053794428434197794
2022-09-18,-0.030456852791878042
2022-09-19,0.08691099476439779
2022-09-20,-0.003765983534769868
2022-09-21,-0.004342857142856982
2022-09-22,-0.024216524216524316
2022-09-23,0.029445919044459146
2022-09-24,0.009427121102248082
2022-09-26,-0.004789272030651492
2022-09-27,0.044273339749759444
2022-09-28,-0.04516129032258054
2022-09-29,-0.008687258687258836
2022-09-30,-0.01788085332389111
2022-10-01,0.01845425867507866
2022-10-02,-0.05621805792163537
2022-10-03,2544.782656745009
2022-10-04,-0.99959311404082
2022-10-05,3386.1577794373925
2022-10-06,-0.9997047672222207
2022-10-07,-0.10314496722263711
2022-10-08,-0.00037009622501849027
2022-10-09,0.05997778600518355
2022-10-10,-0.05623471882640607
2022-10-11,0.0003700962250186013
2022-10-12,0.08490566037735814
2022-10-13,4862.135805626599
2022-10-14,-0.9998105692174137
2022-10-15,0.0005552470849528035
2022-10-16,0.0
2022-10-17,0.0
2022-10-18,0.0
2022-10-19,0.08823529411764697
2022-10-21,4351.810555838859
2022-10-22,-0.9997888906702621
2022-10-23,0.0
2022-10-24,0.0
2022-10-25,5806.510913799482
2022-10-26,-0.9998278091914345
2022-10-27,0.0
2022-10-30,0.0
2022-10-31,0.0
2022-11-01,0.0
2022-11-02,0.0
2022-11-03,0.0
2022-11-04,0.049944506104328434
2022-11-08,0.0042283298097252064
2022-11-09,0.0
2022-11-10,0.07894736842105265
2022-11-11,-0.1170731707317072
2022-11-12,0.17127071823204432
2022-11-13,-0.05062893081761011
2022-11-14,-0.0656674395495197
2022-11-15,0.10821590002658876
2022-11-16,-0.03790786948176594
2022-11-17,0.002743142144638444
2022-11-18,0.013180800795822067
2022-11-19,0.029945999018163638
2022-11-20,-0.07435653002859866
2022-11-21,-0.006179196704428458
2022-11-22,0.08601036269430051
2022-11-23,177.66507633587787
2022-11-25,1.410930298385503
2022-11-26,-0.9978855845378524
2022-11-27,-0.07333682556312204
2022-11-28,0.0678349349915206
2022-11-29,-0.14769719428268913
2022-11-30,0.0948240165631471
2022-12-01,294.0674167927383
2022-12-02,-0.996468024275844
2022-12-03,0.14099074578116477
2022-12-04,-0.10305343511450382
2022-12-05,0.052127659574467966
2022-12-06,95.47229524772496
2022-12-07,-0.22052207600744378
2022-12-08,-0.9863432148591449
2022-12-09,0.00043758888524236816
2022-12-10,0.02646254784034996
2022-12-11,-0.014860977948226384
2022-12-12,0.0014598540145986938
2022-12-13,-0.055393586005830886
2022-12-15,0.03940329218107008
2022-12-16,0.02939720874987617
2022-12-19,218.69591346153845
2022-12-20,-0.9959282297610516
2022-12-21,348.2690791830885
2022-12-23,-0.9972148418666201
2022-12-24,0.0
2022-12-26,0.08066298342541423
2022-12-28,-0.007157464212678932
2022-12-29,941.3274974253347
2022-12-30,-0.998927868852459
2022-12-31,-0.0050968399592252744
2023-01-01,15900.362704918032
2023-01-02,-0.9842788341034283
2023-01-03,-0.9959580020759197
2023-01-04,0.007909146217805807
2023-01-05,2272.061368209255
2023-01-06,-0.999560802322835
2023-01-08,16289.282163251595
2023-01-09,-0.9878754425349465
2023-01-10,9.456099214176458
2023-01-11,-0.9995157063919375
2023-01-12,-0.004030226700251882
2023-01-13,3323.3790254594505
2023-01-14,-0.9997005613257911
2023-01-15,-0.019308943089430874
2023-01-16,0.018307426597582
2023-01-17,0.003900949796472153
2023-01-18,141.99131127362253
2023-01-19,-0.9930561920304954
2023-01-23,2680.3510294367884
2023-01-24,-0.923774264990513
2023-01-25,-0.9950174327415858
2023-01-26,-0.012531328320801949
2023-01-27,-0.0002538071065989467
2023-01-28,500.1106033680291
