,fiat_type,avg_price,median_price,min_price,max_price,std_price,q1_price,q3_price,iqr_price,p1_price,p99_price
0,USD,1931.194002829426,1.044,0.85,108205.04,9824.737553421533,1.03,981.0,979.97,0.95,66300.7241
1,UYU,2012.594935064935,42.23,36.0,910255.43,42323.994898124445,41.14,43.9,2.759999999999998,38.1914,46.98
