asset_type,order_type,operations,quantity,total_fiat,total_fees
USDT,Sell,1840,1383930.76,11558191.15,3464.36
USDT,Buy,1392,1148685.37,3516283.3,2945.35
BUSD,Buy,55,1977265808.839,128039.68,4690133.8296
BTC,Buy,91,171118.427,111927.3,7641.583
ETH,Buy,20,734916.678,19873.579999999998,2507.24
