fiat_type,order_type,operations,total_fiat,avg_price,total_fees
UYU,Sell,653,10361693.77,43.28880551301685,295.66
UYU,Buy,271,2548469.8,6757.82335793358,88370.538
USD,Buy,1287,1227654.06,3711.372898989899,4614857.4646
USD,Sell,1187,1196497.38,1.0421583824768323,3168.7
