,fiat_type,avg_price,median_price,min_price,max_price,std_price,q1_price,q3_price,iqr_price,p1_price,p99_price
0,USD,2484.4388065789476,1.05,0.99,70196.55,11680.376520189542,1.033,1.06,0.027000000000000135,1.0,66962.7786
1,UYU,41.449999999999996,40.8,40.8,42.75,1.1258330249197714,40.8,41.775,0.9750000000000014,40.8,42.711
