session_id,session_start_hour,session_end_hour,total_ops,total_volume,hour_span
1290,11,11,1,1092.3,0
1433,12,12,1,763.19,0
2115,11,11,1,1000.0,0
686,19,19,1,883.78,0
1984,9,9,1,648.18,0
1186,15,15,1,834.21,0
1573,9,9,3,12720.0,0
528,15,15,1,200.0,0
802,23,23,1,482.5,0
2511,16,16,1,7150.0,0
1460,11,11,1,333.0,0
272,14,13,7,33182.34,1
540,13,13,1,91.0,0
2124,21,21,1,234.0,0
2386,19,19,1,109.39,0
1454,12,12,1,210.0,0
278,14,15,4,22103.5,1
1969,17,17,1,400.0,0
2112,12,12,1,212.49,0
1579,20,20,1,3000.0,0
796,10,10,1,1214.14,0
1996,14,14,1,2950.12,0
403,14,14,1,4999.99,0
549,8,8,1,1167.09,0
1064,15,15,1,207.83,0
1594,15,15,2,6272.5,0
1591,12,12,1,600.0,0
531,19,20,3,26655.37,1
397,9,9,1,131.39,0
1061,17,17,1,500.0,0
400,15,15,2,1848.2,0
1603,18,18,2,2700.0699999999997,0
1841,19,19,1,4164.0,0
1070,14,14,1,3000.0,0
269,10,10,1,522.34,0
1859,17,17,2,6825.0,0
1728,9,9,1,3150.0,0
2508,14,14,1,499.44,0
945,13,13,1,200.0,0
2261,15,15,1,5507.04,0
1320,10,10,1,105.0,0
2392,11,11,1,100.14,0
263,16,16,1,50580.0,0
141,21,21,1,1001.78,0
2127,14,14,1,297.06,0
1332,17,17,1,515.0,0
1987,13,14,3,6414.860000000001,1
2243,20,20,1,740.0,0
4,12,11,4,10400.0,1
671,8,8,1,192.69,0
662,20,20,1,100.46,0
1192,16,16,2,1249.19,0
2118,11,11,1,1605.0,0
16,11,12,3,4041.34,1
2517,17,17,2,13011.41,0
1847,19,19,1,1650.0,0
1201,18,18,1,327.78,0
939,15,15,1,194.0,0
668,19,19,1,256.44,0
1445,12,12,1,2000.0,0
1713,17,17,2,818.44,0
1716,17,17,1,300.0,0
2374,11,11,1,11381.44,0
2365,16,16,1,32000.0,0
7,9,9,2,15871.53,0
10,14,14,1,1628.04,0
415,19,19,3,670.28,0
1338,10,10,1,110.0,0
814,12,12,1,490.0,0
790,12,12,1,1934.0,0
552,8,8,1,268.43,0
1731,13,13,1,4140.0,0
546,19,19,1,49.55,0
2505,19,19,1,1000.0,0
418,13,13,1,500.0,0
680,17,17,1,824.29,0
2377,18,18,1,205.82,0
1722,11,11,1,2000.0,0
135,17,17,1,13800.24,0
1472,15,15,1,300.0,0
2389,14,14,1,440.69,0
2371,21,21,1,9000.0,0
412,16,16,1,493.5,0
1457,11,11,1,550.0,0
2499,16,16,1,43153.0,0
1183,10,10,1,414.0,0
817,17,17,1,2045.8,0
19,18,18,2,5894.5,0
394,17,17,1,100.0,0
1076,14,14,1,503.01,0
290,14,14,1,17323.2,0
1180,20,20,1,1200.0,0
1597,23,23,1,1100.0,0
787,15,15,1,2499.38,0
2514,0,0,1,41963.79,0
153,23,23,2,9776.26,0
1990,14,14,1,400.0,0
156,15,15,1,2951.43,0
138,18,18,1,537.16,0
424,11,11,1,145.18,0
2258,16,16,1,300.0,0
2523,20,20,1,17450.0,0
1725,16,16,1,2000.0,0
537,12,12,1,200.0,0
1195,19,19,1,540.1,0
1055,23,23,1,203.36,0
1204,19,19,1,1508.58,0
1844,17,17,1,800.28,0
1198,14,14,1,288.0,0
677,20,20,1,1493.79,0
1865,12,12,1,1003.0,0
2380,12,12,2,20.09,0
1469,16,15,3,1484.0,1
534,23,23,1,35571.0,0
2109,18,18,1,400.0,0
1341,13,13,1,5000.0,0
284,13,13,3,46421.69,0
665,21,21,2,161.92,0
1719,14,14,1,4740.0,0
2249,18,18,1,530.05,0
555,8,8,1,35.7,0
1862,17,17,1,529.5,0
1588,14,14,1,240.0,0
1853,16,16,1,942.09,0
1210,12,12,2,1775.29,0
2383,16,16,1,17643.0,0
1734,17,17,1,2000.0,0
1049,12,12,3,2565.71,0
674,19,19,1,257.51,0
936,13,13,1,107.25,0
2496,15,15,1,43473.0,0
150,21,21,1,10000.0,0
793,17,17,1,546.32,0
2520,0,0,1,5425.22,0
1576,15,15,1,200.0,0
2493,16,16,1,131.0,0
1329,13,13,1,147.92,0
409,10,10,2,7270.0,0
2255,13,13,1,313.13,0
144,10,10,4,3854.3999999999996,0
525,15,15,1,12000.0,0
1079,18,18,1,201.5,0
808,8,8,2,655.72,0
1,16,16,2,23639.61,0
683,12,12,1,498.0,0
2121,11,11,1,1000.0,0
1600,9,10,2,4674.0,1
293,19,19,1,2535.75,0
287,20,20,1,18600.0,0
1978,12,12,1,1500.0,0
805,10,10,1,201.6,0
811,7,7,1,340.2,0
25,12,12,1,912.58,0
1058,13,13,1,200.0,0
421,16,15,4,16189.95,1
1856,11,11,1,315.0,0
2103,11,12,4,3998.78,1
1314,8,8,1,140.0,0
147,14,14,2,6318.03,0
13,8,8,1,8476.0,0
933,14,15,4,7130.64,1
22,10,10,1,4000.0,0
1451,18,18,2,354.95,0
1850,10,10,1,1800.0,0
656,12,12,1,196.2,0
918,20,20,1,154.0,0
2231,13,13,1,400.0,0
1442,15,15,1,200.0,0
1710,10,9,3,1200.0,1
2130,13,13,1,400.0,0
2362,16,16,2,51464.35,0
1189,11,11,1,1000.0,0
1207,17,17,1,1676.25,0
2100,14,14,1,500.0,0
921,12,12,2,21235.0,0
159,20,20,1,4294.53,0
1838,14,14,1,920.0,0
948,20,20,1,600.0,0
1317,12,12,1,315.0,0
1582,17,17,1,350.0,0
1585,21,21,1,500.0,0
1311,12,12,1,500.5,0
275,9,9,1,3951.0,0
1993,10,10,1,2349.36,0
2368,15,15,1,15057.41,0
927,12,12,2,1379.71,0
659,19,19,1,226.25,0
2246,20,20,1,2012.0,0
2234,18,18,1,400.0,0
281,20,20,1,2320.58,0
266,1,1,1,1778.4,0
1707,13,13,1,350.0,0
28,18,18,2,13866.8,0
1466,22,22,1,522.0,0
1052,21,21,1,496.0,0
1981,17,17,1,1900.99,0
942,16,16,1,2500.0,0
1073,23,23,1,300.0,0
930,16,16,1,15000.0,0
1972,13,13,1,737.46,0
1335,14,14,1,200.0,0
31,22,22,1,1074.64,0
1448,22,21,2,1205.21,1
2106,13,13,1,2800.0,0
799,6,6,1,285.0,0
1323,17,17,1,316.63,0
162,17,17,2,100833.68,0
132,15,15,3,8003.2,0
1326,14,14,1,799.0,0
1975,20,20,1,1000.0,0
2502,14,14,1,291.0,0
543,8,8,1,71.17,0
1463,8,9,4,1250.0,1
924,15,15,1,1000.0,0
2252,14,14,1,3800.0,0
1067,16,16,3,705.04,0
406,15,15,1,200.0,0
2237,12,12,1,400.0,0
2240,23,23,1,500.0,0
1737,10,10,1,300.0,0
969,12,12,2,2677.5,0
963,13,13,1,150.0,0
2395,20,20,1,120.18,0
2008,15,15,2,2400.0,0
1749,22,22,1,210.0,0
1502,14,15,2,1015.0,1
1347,12,12,2,459.52,0
165,14,13,4,49886.93,1
1082,1,1,1,113.3,0
573,20,20,1,9400.0,0
2398,11,11,3,2583.7799999999997,0
2282,13,13,2,3252.0,0
448,13,13,1,1390.0,0
841,15,15,1,4401.6,0
1883,12,12,1,4000.0,0
439,16,16,1,300.0,0
2407,17,17,1,22200.0,0
2136,11,11,1,297.3,0
1240,18,18,1,313.51,0
1877,10,10,1,254.74,0
2264,20,20,1,1061.0,0
820,20,20,1,1395.8,0
2148,14,14,1,2602.6,0
960,10,10,1,1753.0,0
710,22,22,1,2346.83,0
978,18,18,1,1865.8,0
1478,9,9,2,950.0,0
296,20,20,2,40926.47,0
558,18,18,1,529.51,0
1353,12,12,1,1446.88,0
850,17,17,1,725.5,0
1350,14,14,1,138.37,0
1234,18,17,2,334.06,1
1228,18,18,1,496.5,0
55,16,16,1,3224.57,0
1627,18,18,1,3000.0,0
1374,14,15,2,675.94,1
981,15,15,1,2500.0,0
1618,15,14,3,3750.03,1
829,10,10,1,20592.05,0
1621,19,19,1,250.0,0
326,18,18,1,3000.0,0
61,20,20,2,1456.0,0
1094,20,19,2,1158.5,1
588,13,13,1,177.56,0
1889,14,14,1,3003.0,0
1103,13,13,1,614.8,0
823,10,10,1,1500.0,0
1362,16,16,1,484.13,0
430,14,14,2,17450.0,0
186,12,12,1,5500.0,0
2285,18,18,1,501.0,0
1091,11,11,1,1580.0,0
2014,19,19,1,1430.9,0
1112,12,12,1,500.0,0
576,12,12,1,181.0,0
1761,12,12,1,960.0,0
966,9,10,2,6004.469999999999,1
2029,8,8,1,300.09,0
1630,11,11,3,2629.0,0
1216,10,10,2,5362.2,0
1475,10,10,1,200.0,0
323,13,13,1,349.79,0
826,18,18,1,11880.0,0
308,12,12,1,10300.0,0
585,12,12,1,42.58,0
314,13,13,1,200.0,0
835,8,8,1,481.0,0
457,17,17,1,9350.0,0
1636,23,23,1,50112.4,0
832,23,23,1,2500.0,0
43,21,21,1,2050.0,0
2154,19,19,1,1097.8,0
1743,10,10,1,200.0,0
707,15,15,1,750.0,0
64,16,16,2,18268.4,0
975,11,11,1,1000.0,0
2142,15,15,4,3213.21,0
716,8,8,1,112.26,0
1231,12,12,1,4074.29,0
302,20,20,2,3067.96,0
1606,22,22,1,400.0,0
582,15,15,1,27.24,0
1481,9,9,3,1681.1399999999999,0
1892,9,9,1,400.0,0
1615,10,11,2,12000.0,1
171,1,1,1,1000.0,0
195,19,19,2,53680.0,0
311,9,9,1,50.0,0
2288,23,23,1,330.97,0
1886,11,11,2,5004.0,0
2410,14,15,4,33653.990000000005,1
951,12,12,1,394.4,0
1371,16,16,2,742.5,0
2422,22,22,1,248.69,0
2526,11,11,1,200.0,0
1490,10,10,1,500.0,0
1874,12,12,1,519.0,0
2291,13,13,1,323.0,0
1368,19,19,2,1497.4,0
1365,17,17,2,7144.0,0
2273,19,19,1,398.75,0
1484,12,12,1,309.3,0
1496,22,22,1,600.0,0
2017,14,14,2,6080.1,0
972,11,11,1,150.0,0
2276,20,20,1,2576.0,0
427,18,18,2,20650.28,0
1755,12,12,2,1180.4,0
1758,18,18,1,4000.0,0
1767,13,13,1,200.0,0
1106,11,11,1,1034.0,0
451,14,14,1,39000.0,0
1085,20,20,1,424.86,0
1097,23,23,1,718.34,0
454,21,21,1,236.0,0
704,18,18,1,1953.27,0
2267,16,16,1,502.32,0
1999,23,23,1,2374.75,0
299,21,21,1,2997.74,0
320,17,17,1,1264.99,0
2145,18,19,2,3547.99,1
1219,14,14,1,2282.83,0
1243,18,18,1,4228.79,0
579,15,15,1,90.0,0
719,1,1,1,45795.55,0
183,13,13,1,1028.56,0
1344,18,18,1,160.0,0
2413,19,20,2,75396.48999999999,1
692,14,14,1,247.0,0
1225,14,14,1,300.0,0
2020,9,9,1,298.46,0
2026,20,20,1,663.3,0
445,16,16,1,140.0,0
1898,9,9,1,2100.0,0
2005,19,19,1,7597.14,0
49,1,1,1,1039.0,0
1493,9,9,2,410.0,0
2160,10,10,1,246.31,0
1895,13,13,1,2381.86,0
957,16,16,1,10000.0,0
2279,18,18,1,231.41,0
2139,12,12,1,420.64,0
1880,16,16,1,800.0,0
1237,10,10,1,304.16,0
37,18,18,1,19700.0,0
838,13,13,1,1208.97,0
442,10,10,2,15542.0,0
2002,16,16,1,1100.0,0
570,10,10,1,46.29,0
2151,14,14,2,483.11,0
1624,12,13,2,10182.0,1
1359,9,10,2,1207.6100000000001,1
1487,17,17,1,209.0,0
2011,13,13,2,8811.3,0
1222,10,10,1,239.96,0
34,12,12,1,2088.5,0
561,22,22,1,25.22,0
1213,19,19,1,2000.0,0
2401,13,13,2,22440.739999999998,0
58,14,14,2,32853.53,0
1740,14,14,1,800.0,0
713,13,13,1,250.15,0
2416,16,16,4,106000.0,0
695,12,12,1,170.0,0
177,17,17,1,56306.59,0
844,15,15,1,292.92,0
698,17,17,1,627.88,0
46,14,15,4,7422.73,1
2404,11,11,1,20000.0,0
305,22,22,1,400.19,0
1752,16,16,1,500.0,0
2419,21,21,1,184.95,0
1746,17,17,1,4985.0,0
52,21,21,1,1000.0,0
1100,13,13,1,650.0,0
180,13,13,1,1100.0,0
1109,17,17,1,223.65,0
567,10,10,1,172.23,0
168,16,16,1,39310.0,0
1356,12,12,1,970.0,0
1871,15,15,1,400.0,0
2023,14,14,1,3360.98,0
701,15,15,1,2303.63,0
174,17,16,2,104334.57999999999,1
954,13,13,1,4996.58,0
1609,12,12,1,3000.0,0
433,9,9,1,6522.88,0
1612,19,18,2,25628.3,1
436,20,20,1,30000.0,0
1868,11,11,1,1070.0,0
564,21,21,1,25.22,0
847,20,20,1,1300.23,0
192,12,12,1,12429.2,0
1633,10,10,1,387.0,0
317,12,11,2,29169.1,1
2270,16,16,1,1204.25,0
1088,16,16,1,270.0,0
2133,23,23,1,251.0,0
689,20,20,1,402.16,0
1505,14,14,1,265.0,0
1499,12,12,1,200.0,0
40,18,18,1,2870.0,0
1764,22,22,1,900.0,0
189,21,20,2,6200.0,1
2157,17,17,1,598.2,0
880,14,14,1,25252.0,0
2053,9,9,1,770.0,0
2047,20,20,1,5000.0,0
2163,16,16,1,501.5,0
990,14,14,1,1700.0,0
1526,13,12,2,963.05,1
1261,10,10,1,188.08,0
2181,21,21,1,500.0,0
460,18,18,1,14190.0,0
740,14,14,1,2009.4,0
1523,15,15,1,600.0,0
731,12,12,1,105.81,0
594,18,18,1,15000.0,0
2440,18,18,1,55883.3,0
70,19,18,11,81198.42,1
1401,11,11,1,228.71,0
1246,14,14,1,2500.0,0
1392,17,17,2,759.0,0
2452,12,12,1,301.22,0
82,23,23,1,157.5,0
1791,10,10,1,525.0,0
865,13,13,1,33625.41,0
1115,16,16,2,3500.0,0
1386,10,9,2,521.01,1
1770,21,21,1,1050.0,0
1249,16,16,1,406.14,0
597,22,22,1,16752.0,0
1800,17,17,1,4000.0,0
725,15,15,3,2064.48,0
1642,16,16,1,8250.0,0
332,21,21,2,2375.0,0
2175,13,13,1,200.2,0
743,14,14,1,299.76,0
341,18,18,1,75.0,0
1654,17,17,3,6420.0,0
618,17,17,1,500.0,0
615,5,5,1,101.98,0
746,14,14,1,393.2,0
1797,14,14,1,500.0,0
207,12,12,1,2500.0,0
1389,12,12,3,1538.33,0
2050,10,10,1,1065.53,0
490,19,19,1,29000.0,0
2038,22,22,1,345.99,0
359,19,19,1,100.0,0
1931,9,9,1,7074.99,0
1538,13,13,2,2500.0,0
2184,10,10,1,1575.0,0
228,22,22,1,2056.32,0
67,22,22,1,10000.0,0
1776,20,20,2,400.0,0
1270,15,15,1,2376.69,0
883,22,22,1,1730.1,0
1666,15,15,1,4025.0,0
1121,14,14,1,200.0,0
999,16,17,2,1178.44,1
868,17,17,1,8506.8,0
76,18,19,3,3000.0,1
353,17,17,1,50.0,0
1925,16,16,1,1000.0,0
1788,15,15,1,200.0,0
871,21,21,1,1700.0,0
1529,18,18,1,5000.0,0
1142,12,12,1,200.64,0
204,13,13,2,5825.98,0
1508,20,20,1,200.0,0
2431,11,11,1,36768.19,0
2032,12,11,3,8370.619999999999,1
1139,10,10,2,451.02,0
219,11,11,1,2968.56,0
1782,17,17,1,200.0,0
612,22,22,1,8000.0,0
1511,15,15,2,700.0,0
481,16,16,1,430.0,0
466,15,15,1,312.0,0
356,11,11,1,470.27,0
2455,19,19,1,11702.34,0
1380,12,12,2,238.0,0
1136,22,22,1,200.0,0
2306,13,13,1,387.11,0
1517,16,16,1,8200.0,0
2434,19,19,1,18028.57,0
2193,12,12,1,531.0,0
469,21,21,1,2749.18,0
2309,21,21,1,361.86,0
1145,13,13,1,688.74,0
1648,9,10,4,1100.0,1
79,18,18,2,30176.989999999998,0
987,19,19,1,800.0,0
2425,14,15,4,111617.36,1
1267,20,20,1,1691.09,0
1014,16,16,1,500.0,0
749,18,18,1,751.47,0
1663,12,12,2,16905.2,0
1127,10,10,1,839.0,0
1273,9,9,1,179.92,0
728,8,8,1,194.2,0
591,19,19,1,800.0,0
2172,9,9,4,7194.27,0
1404,22,22,1,300.0,0
1008,14,15,2,2480.24,1
338,14,14,1,525.0,0
2443,18,18,2,66293.45999999999,0
600,20,20,1,30.0,0
1407,23,23,1,380.0,0
2059,16,16,1,3000.0,0
1910,10,10,2,9543.439999999999,0
993,22,22,1,500.0,0
222,14,14,1,1300.0,0
1264,19,19,1,225.4,0
1520,21,21,2,780.0,0
874,13,13,1,3350.9,0
1118,19,19,2,1201.0,0
609,8,8,1,23.42,0
734,11,11,2,1241.24,0
1660,14,14,1,10558.8,0
329,18,18,1,250.0,0
1922,11,12,4,6359.71,1
1130,13,13,2,1641.6,0
1532,13,13,1,16700.0,0
2062,18,18,1,1500.0,0
463,18,18,2,1100.0,0
1904,11,11,1,2705.4,0
2318,22,22,1,214.35,0
85,18,18,2,2912.1400000000003,0
996,13,13,2,638.6800000000001,0
856,22,22,1,1503.28,0
737,20,20,1,1399.92,0
1011,22,22,1,200.0,0
88,21,21,1,1900.0,0
472,18,18,1,198.9,0
210,18,18,1,8384.0,0
335,9,9,1,2500.0,0
487,11,11,1,99.9,0
91,19,19,1,1000.0,0
1919,19,19,1,7502.29,0
475,21,21,2,638.66,0
2169,13,13,1,850.69,0
1383,14,14,1,500.0,0
1005,10,10,1,437.92,0
1398,14,13,6,3287.75,1
97,14,14,1,36994.32,0
2428,19,19,1,43000.0,0
752,12,12,1,515.26,0
201,13,13,2,12504.119999999999,0
2312,21,21,1,299.1,0
984,20,20,1,4285.0,0
1651,14,14,1,1000.0,0
2300,16,16,1,3198.0,0
722,12,12,2,662.71,0
1639,12,12,1,500.0,0
1645,20,20,2,700.0,0
198,16,16,1,5500.0,0
853,11,11,1,1970.0,0
225,18,18,1,4211.43,0
2041,10,10,2,1329.2800000000002,0
2315,16,16,1,1495.45,0
1255,16,16,1,203.58,0
2297,18,18,1,994.95,0
1395,11,11,1,298.2,0
1535,17,17,1,4000.0,0
1928,13,12,2,2215.0,1
621,14,14,1,1398.6,0
606,10,10,1,200.0,0
1133,13,13,1,400.0,0
1794,11,11,1,400.0,0
1258,13,13,2,762.1199999999999,0
2035,15,15,1,500.0,0
347,20,20,1,128.0,0
478,18,18,1,1100.0,0
1779,12,12,1,399.37,0
2303,12,12,2,1231.44,0
2187,14,14,1,275.27,0
2449,19,20,3,113093.29999999999,1
2178,21,21,1,291.57,0
877,21,21,1,60000.0,0
1773,18,18,1,500.0,0
1124,14,14,2,3521.0,0
2446,15,15,3,26156.94,0
344,15,15,1,210.0,0
1916,12,12,2,4000.0,0
350,19,19,1,534.0,0
1514,20,20,1,206.0,0
216,20,20,1,12705.0,0
1913,8,8,1,2492.5,0
73,18,18,2,5354.38,0
2166,20,20,1,2011.74,0
2324,18,18,1,2519.95,0
2321,11,11,1,8482.0,0
484,17,17,1,255.0,0
1002,10,10,1,2100.0,0
2056,13,13,1,438.68,0
1657,11,12,3,35885.3,1
1901,16,16,1,454.52,0
2190,11,11,1,203.56,0
1669,20,20,5,32607.1,0
1377,20,20,1,340.0,0
94,13,14,10,70722.13,1
603,15,15,1,50.15,0
862,14,14,1,38420.85,0
1907,17,17,1,3478.45,0
1252,15,15,1,410.07,0
2437,14,14,1,22550.0,0
1276,20,20,1,993.0,0
859,18,18,1,580.15,0
2294,15,15,1,500.0,0
1785,11,11,1,541.77,0
213,14,14,1,10000.0,0
2044,13,14,3,7049.0,1
109,14,15,3,9400.0,1
758,16,16,1,694.4,0
645,21,21,1,222.3,0
642,14,14,1,791.34,0
1416,13,13,1,529.6,0
1949,8,8,2,4241.0,0
511,20,20,1,119.99,0
633,9,9,1,38.7,0
1830,11,11,2,4250.0,0
499,15,15,2,2700.0,0
121,17,17,1,5000.0,0
380,16,16,1,182.57,0
892,20,20,2,5643.44,0
901,15,15,1,20000.0,0
910,11,11,1,200.0,0
255,21,21,2,4400.0,0
2458,13,13,1,498.95,0
1440,10,10,1,881.6,0
517,20,20,1,39.6,0
2068,18,18,2,1100.0,0
2485,13,13,2,1170.94,0
130,23,22,2,6881.39,1
2077,23,23,1,321.6,0
106,18,18,1,4950.0,0
1428,13,13,1,200.0,0
1172,12,13,3,11766.0,1
907,21,20,2,2624.59,1
639,19,19,1,4125.0,0
1958,18,18,1,1000.0,0
1955,12,12,1,7465.99,0
1961,15,15,1,600.0,0
2470,22,22,1,291.47,0
243,22,22,1,1200.0,0
904,11,10,3,1350.0,1
1806,12,12,2,900.0,0
2083,9,9,1,457.73,0
1035,15,15,1,556.72,0
