Counterparty,payment_method,operations_with_method,volume_with_method,avg_volume_with_method,total_operations_cp,total_volume_cp,pct_operations,pct_volume
P2P-3ccfc2kp,ItauUruguay,1,489.99,489.99,1,489.99,100.0,100.0
P2P-3db9b5mh,OcaBlue,1,59000.0,59000.0,1,59000.0,100.0,100.0
P2P-3ed1d0yj,Prex,1,100.14,100.14,1,100.14,100.0,100.0
P2P-3f709fmu,OcaBlue,1,18905.0,18905.0,2,24035.0,50.0,78.65612648221344
P2P-3f709fmu,SantanderUrug,1,5130.0,5130.0,2,24035.0,50.0,21.34387351778656
P2P-413ceagy,BankRepublicUruguay,1,151.68,151.68,1,151.68,100.0,100.0
P2P-426ff1qp,OcaBlue,4,74310.92,18577.73,5,90290.92,80.0,82.30165336669512
P2P-426ff1qp,BBVAUruguay,1,15980.0,15980.0,5,90290.92,20.0,17.69834663330488
P2P-457943cp,SantanderUrug,2,799.6600000000001,399.83000000000004,2,799.6600000000001,100.0,100.0
P2P-47b886qt,ScotiabankUruguay,1,2000.0,2000.0,1,2000.0,100.0,100.0
P2P-516e5080,OcaBlue,1,37633.32,37633.32,1,37633.32,100.0,100.0
P2P-5249e3nq,SantanderUrug,1,53674.92,53674.92,1,53674.92,100.0,100.0
P2P-52dcddtt,OcaBlue,3,54498.259999999995,18166.086666666666,3,54498.259999999995,100.0,100.0
P2P-54468f6a,OcaBlue,1,63000.0,63000.0,1,63000.0,100.0,100.0
P2P-55cdd7ej,OcaBlue,1,17643.0,17643.0,1,17643.0,100.0,100.0
P2P-58e04dzw,ItauUruguay,1,413.09,413.09,1,413.09,100.0,100.0
P2P-5c9cd3eq,ItauUruguay,1,1299.73,1299.73,1,1299.73,100.0,100.0
P2P-5d7a64dj,ItauUruguay,2,584.75,292.375,2,584.75,100.0,100.0
P2P-5dcb70xu,SantanderUrug,1,38355.86,38355.86,1,38355.86,100.0,100.0
P2P-5ddaa7qs,OcaBlue,1,4154.92,4154.92,1,4154.92,100.0,100.0
P2P-5f6ce2pi,ItauUruguay,1,20000.0,20000.0,1,20000.0,100.0,100.0
P2P-617b67s9,BBVAUruguay,1,22462.07,22462.07,1,22462.07,100.0,100.0
P2P-63b24ckm,BBVAUruguay,1,21000.0,21000.0,1,21000.0,100.0,100.0
P2P-6b3180cp,OcaBlue,3,3549.17,1183.0566666666666,3,3549.17,100.0,100.0
P2P-6ba210ay,OcaBlue,1,8000.0,8000.0,1,8000.0,100.0,100.0
P2P-6d8bf5k5,SantanderUrug,1,325.01,325.01,1,325.01,100.0,100.0
P2P-701a759w,BankRepublicUruguay,1,300.0,300.0,1,300.0,100.0,100.0
P2P-7028feyo,OcaBlue,1,119.35,119.35,1,119.35,100.0,100.0
P2P-718b41ol,BankRepublicUruguay,1,241.75,241.75,1,241.75,100.0,100.0
P2P-798968e1,ItauUruguay,1,15057.41,15057.41,1,15057.41,100.0,100.0
P2P-7aa470an,ItauUruguay,1,189.31,189.31,1,189.31,100.0,100.0
P2P-7af467qs,SantanderUrug,2,3500.0,1750.0,2,3500.0,100.0,100.0
P2P-7b4cc2q5,ItauUruguay,1,4157.0,4157.0,1,4157.0,100.0,100.0
P2P-805322it,SantanderUrug,2,310.65999999999997,155.32999999999998,2,310.65999999999997,100.0,100.0
P2P-841799ih,ItauUruguay,1,109.71,109.71,1,109.71,100.0,100.0
P2P-850fa7su,OcaBlue,1,10230.12,10230.12,1,10230.12,100.0,100.0
P2P-85f40bca,ItauUruguay,1,17450.0,17450.0,1,17450.0,100.0,100.0
P2P-86b252c6,ItauUruguay,1,499.94,499.94,1,499.94,100.0,100.0
P2P-86f714gg,SantanderUrug,1,10000.0,10000.0,1,10000.0,100.0,100.0
P2P-883adezd,SantanderUrug,1,7150.0,7150.0,1,7150.0,100.0,100.0
P2P-88fb85ju,OcaBlue,1,55883.3,55883.3,1,55883.3,100.0,100.0
P2P-8aa8aepp,ScotiabankUruguay,2,40000.0,20000.0,2,40000.0,100.0,100.0
P2P-8d9de39a,SantanderUrug,1,10777.15,10777.15,1,10777.15,100.0,100.0
P2P-8efc2bzm,BBVAUruguay,1,503.94,503.94,1,503.94,100.0,100.0
P2P-91cd57bv,SantanderUrug,2,135881.94,67940.97,2,135881.94,100.0,100.0
P2P-979a36ft,OcaBlue,1,100.0,100.0,1,100.0,100.0,100.0
P2P-995f9drw,SantanderUrug,2,44750.0,22375.0,2,44750.0,100.0,100.0
P2P-9b7001cz,ItauUruguay,2,195.51999999999998,97.75999999999999,2,195.51999999999998,100.0,100.0
P2P-9e4ea2sp,SantanderUrug,1,4012.0,4012.0,1,4012.0,100.0,100.0
P2P-a1fc8bta,ItauUruguay,1,488.68,488.68,1,488.68,100.0,100.0
P2P-a42ae0em,OcaBlue,1,30864.0,30864.0,1,30864.0,100.0,100.0
P2P-a4c02fyy,BankRepublicUruguay,2,999.88,499.94,2,999.88,100.0,100.0
P2P-a79d9blj,OcaBlue,1,53266.56,53266.56,1,53266.56,100.0,100.0
P2P-a7ed35zs,OcaBlue,1,23293.81,23293.81,1,23293.81,100.0,100.0
P2P-b0b58ctm,OcaBlue,3,73686.42,24562.14,3,73686.42,100.0,100.0
P2P-b0d06db7,BankRepublicUruguay,1,300.0,300.0,1,300.0,100.0,100.0
P2P-b16270ur,Prex,1,156.72,156.72,1,156.72,100.0,100.0
P2P-b3bd895x,BBVAUruguay,1,54723.0,54723.0,2,201170.48,50.0,27.202301252151905
P2P-b3bd895x,SantanderUrug,1,146447.48,146447.48,2,201170.48,50.0,72.79769874784809
P2P-b3c8cf3u,SantanderUrug,2,20496.12,10248.06,2,20496.12,100.0,100.0
P2P-b5324bhc,BBVAUruguay,1,20000.0,20000.0,1,20000.0,100.0,100.0
P2P-b6719bc7,ItauUruguay,1,1220.11,1220.11,1,1220.11,100.0,100.0
P2P-b6f26baj,SantanderUrug,1,11077.67,11077.67,1,11077.67,100.0,100.0
P2P-b70609bj,BankRepublicUruguay,1,1716.83,1716.83,1,1716.83,100.0,100.0
P2P-b78d47da,OcaBlue,1,53962.74,53962.74,1,53962.74,100.0,100.0
P2P-b7b4983u,ItauUruguay,1,287.05,287.05,1,287.05,100.0,100.0
P2P-b894beif,SantanderUrug,3,2635.92,878.64,3,2635.92,100.0,100.0
P2P-b9dd8fdt,SantanderUrug,2,300.66,150.33,2,300.66,100.0,100.0
P2P-bb561bea,OcaBlue,1,12426.48,12426.48,1,12426.48,100.0,100.0
P2P-bbd542yf,OcaBlue,1,22002.2,22002.2,1,22002.2,100.0,100.0
P2P-bee3bdla,ItauUruguay,1,15404.26,15404.26,1,15404.26,100.0,100.0
P2P-c04b17kv,OcaBlue,1,440.69,440.69,1,440.69,100.0,100.0
P2P-c5334f0i,SantanderUrug,1,300.0,300.0,1,300.0,100.0,100.0
P2P-c5525bjo,OcaBlue,1,43000.0,43000.0,1,43000.0,100.0,100.0
P2P-c7cb37yq,ScotiabankUruguay,1,18028.57,18028.57,1,18028.57,100.0,100.0
P2P-c8d34aot,ItauUruguay,1,478.56,478.56,1,478.56,100.0,100.0
P2P-d17b99yo,OcaBlue,3,3526.32,1175.44,3,3526.32,100.0,100.0
P2P-d21c47dq,ItauUruguay,2,262.64,131.32,2,262.64,100.0,100.0
P2P-d238f8ea,ItauUruguay,1,499.44,499.44,1,499.44,100.0,100.0
P2P-d328441g,OcaBlue,1,120.42,120.42,1,120.42,100.0,100.0
P2P-d8ab33au,SantanderUrug,2,12000.0,6000.0,2,12000.0,100.0,100.0
