Counterparty,total_sessions,avg_ops_per_session,avg_volume_per_session,max_ops_in_session,max_volume_in_session,avg_session_duration_minutes
P2P-26235ct1,1,1.0,8000.0,1,8000.0,0.0
Carlosmroj,1,1.0,897.25,1,897.25,0.0
CryptoMinds-,1,1.0,251.44,1,251.44,0.0
P2P-798968e1,1,1.0,15057.41,1,15057.41,0.0
P2P-8d9de39a,1,1.0,10777.15,1,10777.15,0.0
P2P-05a3a5lu,1,1.0,1810.0,1,1810.0,0.0
P2P-b5324bhc,1,1.0,20000.0,1,20000.0,0.0
P2P-e982859p,1,1.0,15764.0,1,15764.0,0.0
P2P-8efc2bzm,1,1.0,503.94,1,503.94,0.0
P2P-86f714gg,1,1.0,10000.0,1,10000.0,0.0
P2P-850fa7su,1,1.0,10230.12,1,10230.12,0.0
P2P-b6719bc7,1,1.0,1220.11,1,1220.11,0.0
P2P-883adezd,1,1.0,7150.0,1,7150.0,0.0
P2P-ebb3acrk,1,1.0,675.25,1,675.25,0.0
P2P-3478c3ar,1,1.0,1021.0,1,1021.0,0.0
Perritomalvado,1,1.0,109.39,1,109.39,0.0
P2P-1eb491ug,1,1.0,1033.0,1,1033.0,0.0
ACEM_MVD,1,1.0,8980.0,1,8980.0,0.0
P2P-005858vl,1,1.0,21575.75,1,21575.75,0.0
Ronuk,1,1.0,33512.23,1,33512.23,0.0
P2P-47b886qt,1,1.0,2000.0,1,2000.0,0.0
P2P-b894beif,1,3.0,2635.92,3,2635.92,38.68333333333333
DMV_BTC,1,1.0,313.13,1,313.13,0.0
P2P-841799ih,1,1.0,109.71,1,109.71,0.0
P2P-d238f8ea,1,1.0,499.44,1,499.44,0.0
AgustinM,1,1.0,501.0,1,501.0,0.0
P2P-c7cb37yq,1,1.0,18028.57,1,18028.57,0.0
P2P-55cdd7ej,1,1.0,17643.0,1,17643.0,0.0
Juanmaster2002,1,1.0,117.83,1,117.83,0.0
P2P-3ed1d0yj,1,1.0,100.14,1,100.14,0.0
P2P-3ca1005g,1,1.0,37545.21,1,37545.21,0.0
P2P-a42ae0em,1,1.0,30864.0,1,30864.0,0.0
P2P-5ddaa7qs,1,1.0,4154.92,1,4154.92,0.0
P2P-c8d34aot,1,1.0,478.56,1,478.56,0.0
P2P-36e2afdk,1,1.0,1209.38,1,1209.38,0.0
P2P-7028feyo,1,1.0,119.35,1,119.35,0.0
nacho11919,1,1.0,120.18,1,120.18,0.0
IluminaTuAlma,1,1.0,54000.0,1,54000.0,0.0
CryptooP2P-,1,1.0,15825.48,1,15825.48,0.0
P2P-58e04dzw,1,1.0,413.09,1,413.09,0.0
P2P-b78d47da,1,1.0,53962.74,1,53962.74,0.0
P2P-6ba210ay,1,1.0,8000.0,1,8000.0,0.0
CryptoMefis,1,1.0,500.0,1,500.0,0.0
P2P-3ccfc2kp,1,1.0,489.99,1,489.99,0.0
wyatt09,1,1.0,184.35,1,184.35,0.0
P2P-9e4ea2sp,1,1.0,4012.0,1,4012.0,0.0
P2P-eadba4ij,1,1.0,22319.55,1,22319.55,0.0
P2P-5dcb70xu,1,1.0,38355.86,1,38355.86,0.0
NeoxCript,1,1.0,27019.11,1,27019.11,0.0
P2P-a4c02fyy,1,2.0,999.88,2,999.88,10.2
P2P-3db9b5mh,1,1.0,59000.0,1,59000.0,0.0
P2P-305b9ajr,1,1.0,1000.0,1,1000.0,0.0
GroupSensei,1,1.0,291.0,1,291.0,0.0
SebaCripto,1,1.0,341.12,1,341.12,0.0
P2P-f75848v6,1,1.0,21310.0,1,21310.0,0.0
P2P-b70609bj,1,1.0,1716.83,1,1716.83,0.0
Cosmo_Change,1,1.0,667.0,1,667.0,0.0
RAMZEZERG,1,1.0,20000.0,1,20000.0,0.0
P2P-a1fc8bta,1,1.0,488.68,1,488.68,0.0
P2P-3a08f7i0,1,3.0,1498.0,3,1498.0,19.366666666666667
P2P-5f6ce2pi,1,1.0,20000.0,1,20000.0,0.0
andrewbit,1,1.0,5531.0,1,5531.0,0.0
Sllns,1,1.0,281.65,1,281.65,0.0
Capicua373,1,1.0,72000.0,1,72000.0,0.0
P2P-86b252c6,1,1.0,499.94,1,499.94,0.0
P2P-08526bn6,1,1.0,128.5,1,128.5,0.0
P2P-6d8bf5k5,1,1.0,325.01,1,325.01,0.0
P2P-7aa470an,1,1.0,189.31,1,189.31,0.0
JuanSH,1,1.0,8597.5,1,8597.5,0.0
P2P-29ba96rr,1,1.0,20600.0,1,20600.0,0.0
P2P-344833ni,1,1.0,6112.68,1,6112.68,0.0
P2P-2815b9b6,1,1.0,11381.44,1,11381.44,0.0
P2P-3a7d63mw,1,1.0,21500.05,1,21500.05,0.0
P2P-00f2add1,1,1.0,320.64,1,320.64,0.0
P2P-1b1b53o8,1,1.0,604.54,1,604.54,0.0
P2P-0b1d2exa,1,1.0,1894.53,1,1894.53,0.0
P2P-85f40bca,1,1.0,17450.0,1,17450.0,0.0
