Counterparty,year_month,monthly_operations,monthly_volume,avg_monthly_volume,payment_methods_monthly
P2P-8aa8aepp,2025-03,2,40000.0,20000.0,1
P2P-8d9de39a,2025-05,1,10777.15,10777.15,1
P2P-8efc2bzm,2025-05,1,503.94,503.94,1
P2P-91cd57bv,2025-04,2,135881.94,67940.97,1
P2P-979a36ft,2025-04,1,100.0,100.0,1
P2P-995f9drw,2025-03,1,22200.0,22200.0,1
P2P-995f9drw,2025-04,1,22550.0,22550.0,1
P2P-9b7001cz,2025-04,2,195.51999999999998,97.75999999999999,1
P2P-9e4ea2sp,2025-04,1,4012.0,4012.0,1
P2P-a1fc8bta,2025-04,1,488.68,488.68,1
P2P-a42ae0em,2025-04,1,30864.0,30864.0,1
P2P-a4c02fyy,2025-04,2,999.88,499.94,1
P2P-a79d9blj,2025-03,1,53266.56,53266.56,1
P2P-a7ed35zs,2025-04,1,23293.81,23293.81,1
P2P-b0b58ctm,2025-04,3,73686.42,24562.14,1
P2P-b0d06db7,2025-05,1,300.0,300.0,1
P2P-b16270ur,2025-03,1,156.72,156.72,1
P2P-b3bd895x,2025-04,2,201170.48,100585.24,2
P2P-b3c8cf3u,2025-05,2,20496.12,10248.06,1
P2P-b5324bhc,2025-04,1,20000.0,20000.0,1
P2P-b6719bc7,2025-04,1,1220.11,1220.11,1
P2P-b6f26baj,2025-05,1,11077.67,11077.67,1
P2P-b70609bj,2025-04,1,1716.83,1716.83,1
P2P-b78d47da,2025-04,1,53962.74,53962.74,1
P2P-b7b4983u,2025-05,1,287.05,287.05,1
P2P-b894beif,2025-04,3,2635.92,878.64,1
P2P-b9dd8fdt,2025-05,2,300.66,150.33,1
P2P-bb561bea,2025-04,1,12426.48,12426.48,1
P2P-bbd542yf,2025-05,1,22002.2,22002.2,1
P2P-bee3bdla,2025-03,1,15404.26,15404.26,1
P2P-c04b17kv,2025-03,1,440.69,440.69,1
P2P-c5334f0i,2025-04,1,300.0,300.0,1
P2P-c5525bjo,2025-04,1,43000.0,43000.0,1
P2P-c7cb37yq,2025-04,1,18028.57,18028.57,1
P2P-c8d34aot,2025-04,1,478.56,478.56,1
P2P-d17b99yo,2025-04,2,2012.88,1006.44,1
P2P-d17b99yo,2025-05,1,1513.44,1513.44,1
P2P-d21c47dq,2025-04,1,112.64,112.64,1
P2P-d21c47dq,2025-05,1,150.0,150.0,1
P2P-d238f8ea,2025-05,1,499.44,499.44,1
P2P-d328441g,2025-03,1,120.42,120.42,1
P2P-d8ab33au,2025-04,2,12000.0,6000.0,1
P2P-db68f5rk,2025-04,3,697.19,232.39666666666668,1
