asset_type,total_fees_collected,avg_fee_per_op,num_ops_with_fees,max_fee
BUSD,4690133.8296,85275.16053818181,50,1148845.586
BTC,7641.5830000000005,83.97343956043957,90,925.0
USDT,6409.710000000018,1.9832023514851542,3139,24.46
ETH,2507.2400000000002,125.36200000000001,17,588.0
