fiat_type,avg_price,median_price,min_price,max_price,std_price,q1_price,q3_price,iqr_price,p1_price,p99_price
USD,1682.5996770412341,1.029,0.803,108205.04,9857.986644699395,0.997,1.043,0.04599999999999993,0.9,66293.21
UYU,2012.5949350649344,42.23,36.0,910255.43,42323.994898124445,41.14,43.9,2.759999999999998,38.15,46.98
