,fiat_type,avg_price,median_price,min_price,max_price,std_price,q1_price,q3_price,iqr_price,p1_price,p99_price
0,USD,7935.349682119205,1.008,0.99,108205.04,25863.51265184551,1.004,1.0114999999999998,0.00749999999999984,0.995,104765.78
1,UYU,45.00993827160494,45.0,41.56,47.24,1.3539211500814907,44.442499999999995,45.9,1.4575000000000031,41.57,47.24
