fiat_type,order_type,operations,total_fiat,avg_price,total_fees
UYU,Sell,152,4248311.85,45.21657894736842,149.66
UYU,Buy,10,155484.99,41.869,5.87
USD,Buy,142,84674.92,8438.228556338028,2993.799
USD,Sell,9,12692.6,1.0385555555555555,33.980000000000004
