YearMonthStr,monthly_ops
2022-04,27
2022-05,39
2022-06,39
2022-07,14
2022-08,29
2022-09,39
2022-10,20
2022-11,30
2022-12,51
2023-01,4
2023-02,3
2023-03,6
2023-04,12
2023-05,40
2023-06,31
2023-07,26
2023-08,27
2023-09,28
2023-10,83
2023-11,137
2023-12,170
2024-01,60
2024-02,42
2024-03,67
2024-04,34
2024-05,35
2024-06,14
2024-07,15
2024-08,10
2025-03,114
2025-04,96
2025-05,74
