date,drawdown
2022-04-29,
2022-05-01,0.0
2022-05-12,-0.06285714285714294
2022-05-24,-0.08571428571428585
2022-07-25,0.0
2022-07-28,-0.045454545454545525
2022-07-29,-0.047272727272727244
2022-08-02,-0.046363636363636385
2022-08-03,-0.056363636363636394
2022-08-04,-0.04090909090909112
2022-08-05,-0.056363636363636505
2022-08-06,-0.055454545454545756
2022-08-09,-0.056363636363636505
2022-08-10,-0.09090909090909105
2022-08-12,-0.055454545454545756
2022-08-14,-0.03636363636363649
2022-08-17,0.0
2022-08-18,-0.9978947240447235
2022-08-19,-0.997856225254396
2022-08-20,-0.9978217789683135
2022-08-23,-0.9978947240447235
2022-08-25,-0.9978673696410697
2022-08-26,-0.9978947240447235
2022-08-29,-0.9978217789683135
2022-08-31,-0.9978379889852935
2022-09-01,-0.9978947240447235
2022-09-03,-0.9979838791381134
2022-09-05,-0.9978015164470885
2022-09-06,-0.9978947240447235
2022-09-08,-0.9978420414895385
2022-09-10,-0.9978420414895385
2022-09-13,-0.9978325856463002
2022-09-14,-0.9978947240447235
2022-09-15,-0.997868382767131
2022-09-16,-0.9978795271538047
2022-09-19,-0.997896750296846
2022-09-20,-0.9979220784483772
2022-09-21,-0.997896750296846
2022-09-27,-0.9978015164470885
2022-09-29,-0.9978947240447235
2022-09-30,-0.9978957371707847
2022-10-01,-0.9978015164470885
2022-10-04,-0.9978947240447235
2022-10-06,-0.9981763730897508
2022-10-07,-0.9981743468376283
2022-10-08,-0.9981763730897508
2022-10-09,-0.9981763730897508
2022-10-10,-0.9981743468376283
2022-10-11,-0.9981743468376283
2022-10-14,-0.9981763730897508
2022-10-19,-0.9978521727501509
2022-10-21,-0.9981743468376283
2022-11-04,-0.9980831654921158
2022-11-12,-0.9978521727501509
2022-11-13,-0.9981662418291384
2022-11-16,-0.9979028290532135
2022-11-17,-0.997896750296846
2022-11-18,-0.9978859436188593
2022-11-19,-0.9978744615234985
2022-11-20,-0.9978987765489684
2022-11-22,-0.997876487775621
2022-11-27,-0.9980679686011972
2022-12-01,0.0
2022-12-02,-0.9980084247101718
2022-12-03,-0.9979814594741393
2022-12-05,-0.9979949420921556
2022-12-06,-0.9980479095200765
2022-12-08,-0.9980122768867479
2022-12-09,-0.9980116348573186
2022-12-10,-0.9979910899155795
2022-12-11,-0.9979853116507154
2022-12-12,-0.998018055151612
2022-12-15,-0.9980517616966526
2022-12-16,-0.9979968681804436
2022-12-20,-0.9982568900993283
2022-12-28,-0.998129768272318
2023-01-06,-0.9980893204182693
2023-01-09,-0.9980084247101718
2023-01-18,-0.9980989508597095
2023-02-02,0.0
2023-02-09,0.0
2023-02-20,-0.9999554099512051
2023-03-07,-0.9546706343339217
2023-03-09,-0.9999542547685939
2023-03-23,-0.9999558720242496
2023-03-28,-0.9999543009758983
2023-03-31,-0.9999558720242496
2023-04-11,-0.9999547168416384
2023-04-29,-0.9999506505988467
2023-04-30,-0.9999506968061511
2023-05-03,-0.9999515285376313
2023-05-04,-0.9999512743974568
2023-05-06,-0.9999514823303268
2023-05-07,-0.9999510202572823
2023-05-08,-0.9999521446350239
2023-05-10,-0.9999517133668491
2023-05-11,-0.9999519166789886
2023-05-18,-0.999952314061807
2023-05-22,-0.9999521292325891
2023-05-23,-0.9999523833727636
2023-05-25,-0.9999524526837202
2023-05-29,-0.9999520368179803
2023-05-30,-0.9999520368179803
2023-06-01,-0.9999524064764158
2023-06-02,-0.9999521754398936
2023-06-03,-0.9999521754398936
2023-06-06,-0.999952052220415
2023-06-09,-0.9999524526837202
2023-06-10,-0.9999523294642417
2023-06-12,-0.9999519906106757
2023-06-13,-0.9999522678545025
2023-06-14,-0.9999521523362414
2023-06-15,-0.9999515747449357
2023-06-16,-0.9999522447508503
2023-06-21,-0.9999515285376313
2023-06-22,-0.9999515516412835
2023-06-23,-0.9999515131351965
2023-06-27,-0.9999520830252847
2023-06-28,-0.9999524526837202
2023-06-29,-0.9999514823303268
2023-07-01,-0.9999512512938046
2023-07-02,-0.9999521754398936
2023-07-03,-0.999951805781458
2023-07-05,-0.9999522678545025
2023-07-06,-0.9999517133668491
2023-07-07,-0.9999524064764158
2023-07-08,-0.9999521292325891
2023-07-10,-0.9999522124057372
2023-07-11,-0.9999525450983292
2023-07-12,-0.9999525913056336
2023-07-14,-0.9999521754398936
2023-07-15,-0.999951805781458
2023-07-16,-0.9999517133668491
2023-07-22,-0.999952314061807
2023-07-27,-0.9999523833727636
2023-07-28,-0.9999521292325891
2023-08-01,-0.9999521754398936
2023-08-02,-0.9999521754398936
2023-08-03,-0.9999521754398936
2023-08-04,-0.999952221647198
2023-08-06,-0.9999556409877274
2023-08-08,-0.9999522678545025
2023-08-11,-0.999952314061807
2023-08-12,-0.9999519444033713
2023-08-13,-0.9999519444033713
2023-08-16,-0.9999522678545025
2023-08-17,-0.9777735934496753
2023-08-19,-0.9999531765981566
2023-08-20,-0.9999519906106757
2023-08-21,-0.9999523602691114
2023-08-24,0.0
2023-08-27,-0.9999580231205453
2023-08-31,-0.9999582757396794
2023-09-05,-0.9999578968109782
2023-09-15,-0.9999563389929844
2023-09-16,-0.9999558758579051
2023-09-17,-0.9999558337547161
2023-09-19,-0.9999566477497039
2023-09-20,-0.9999564653025514
2023-09-21,-0.9999567179216856
2023-09-22,-0.9999564653025514
2023-09-23,-0.999956774059271
2023-09-25,-0.9999565074057405
2023-09-26,-0.9999565495089295
2023-09-27,-0.9999565495089295
2023-09-28,-0.9999564653025514
2023-09-29,-0.9999565495089295
2023-09-30,-0.9999557916515271
