Counterparty,total_sessions,avg_ops_per_session,avg_volume_per_session,max_ops_in_session,max_volume_in_session,avg_session_duration_minutes
P2P-0dc8a3t7,1,1.0,94000.0,1,94000.0,0.0
P2P-316feaqf,1,1.0,37841.6,1,37841.6,0.0
P2P-f098e2bh,1,1.0,33260.0,1,33260.0,0.0
P2P-e097b84k,1,1.0,21700.0,1,21700.0,0.0
P2P-d531f4lo,1,1.0,550.0,1,550.0,0.0
P2P-13997bfq,1,1.0,8000.0,1,8000.0,0.0
pabliito07,1,1.0,4480.0,1,4480.0,0.0
miisvo,1,1.0,227.0,1,227.0,0.0
Lorenzetti-17,1,1.0,15254.66,1,15254.66,0.0
UruguayChange,1,1.0,22000.0,1,22000.0,0.0
facundo_cardona,1,1.0,7500.0,1,7500.0,0.0
Secure-n-Fast,1,1.0,200.0,1,200.0,0.0
P2P-7b4cc2q5,1,1.0,20000.0,1,20000.0,0.0
rmendez78,1,1.0,105.68,1,105.68,0.0
P2P-181cf8np,1,1.0,43000.0,1,43000.0,0.0
P2P-d6fe8d6c,1,1.0,20350.0,1,20350.0,0.0
P2P-1796acve,1,1.0,10000.0,1,10000.0,0.0
arielo,1,1.0,62000.0,1,62000.0,0.0
Christian,1,1.0,105.0,1,105.0,0.0
P2P-62b1d38x,1,1.0,23402.34,1,23402.34,0.0
P2P-6bd909ei,1,1.0,66000.0,1,66000.0,0.0
P2P-cc12c4gn,1,1.0,37769.5,1,37769.5,0.0
P2P-4a4762je,1,1.0,6243.06,1,6243.06,0.0
P2P-fbbb88zh,1,1.0,21500.0,1,21500.0,0.0
P2P-5249e3nq,1,1.0,53674.92,1,53674.92,0.0
P2P-5ff10350,1,1.0,22000.0,1,22000.0,0.0
DTJUY,1,1.0,15000.0,1,15000.0,0.0
MCriptoUru_,1,1.0,18241.0,1,18241.0,0.0
P2P-b19fd5fi,1,1.0,330.0,1,330.0,0.0
P2P-2b04dcyl,1,1.0,8000.0,1,8000.0,0.0
P2P-daf17dok,1,1.0,37633.32,1,37633.32,0.0
P2P-b81178qo,1,1.0,2100.0,1,2100.0,0.0
P2P-2c9a22fw,1,1.0,37841.6,1,37841.6,0.0
Ludopata,1,1.0,500.0,1,500.0,0.0
P2P-3804d0yt,1,1.0,13800.0,1,13800.0,0.0
