Counterparty,total_operations,total_volume,avg_volume_per_op,median_volume_per_op,total_quantity,avg_price,std_price,first_operation,last_operation,payment_methods_used,operation_types,days_active,operations_per_day,volume_per_day,price_cv,high_volume_vip,high_frequency_vip,daily_trader,long_term_trader,vip_score,vip_tier
P2P-296841xk,2,30082.269999999997,15041.134999999998,15041.135,640.1,46.85,0.3676955262170019,2025-04-10T22:05:23.000000-0300,2025-04-15T20:08:22.000000-0300,1,1,4,0.4,6016.454,0.00784835701637144,false,true,false,false,54.637298127829474,Silver
P2P-79dedcwc,1,46953.0,46953.0,46953.0,1086.87,43.2,,2025-05-26T19:51:09.000000-0300,2025-05-26T19:51:09.000000-0300,1,1,0,1.0,46953.0,,false,false,false,false,51.990643674923035,Silver
P2P-ce9ad80r,1,46100.0,46100.0,46100.0,1010.96,45.6,,2025-04-04T16:08:00.000000-0300,2025-04-04T16:08:00.000000-0300,1,1,0,1.0,46100.0,,false,false,false,false,51.35496503767495,Silver
deoh23,1,45250.0,45250.0,45250.0,1000.0,45.25,,2025-03-11T15:22:52.000000-0300,2025-03-11T15:22:52.000000-0300,1,1,0,1.0,45250.0,,false,false,false,false,50.72152208144884,Silver
P2P-e81516zv,1,44240.19,44240.19,44240.19,1010.05,43.8,,2025-05-09T19:35:14.000000-0300,2025-05-09T19:35:14.000000-0300,1,1,0,1.0,44240.19,,false,false,false,false,49.96898439718215,Silver
P2P-31cab5ok,1,44000.0,44000.0,44000.0,1000.0,44.0,,2025-05-05T21:06:30.000000-0300,2025-05-05T21:06:30.000000-0300,1,1,0,1.0,44000.0,,false,false,false,false,49.78998832229279,Silver
P2P-181cf8np,1,43000.0,43000.0,43000.0,1001.16,42.95,,2025-05-22T15:33:16.000000-0300,2025-05-22T15:33:16.000000-0300,1,1,0,1.0,43000.0,,false,false,false,false,49.04476131496796,Silver
P2P-7d4ea08o,2,17500.0,8750.0,8750.0,406.4,43.06,0.02828427124746381,2025-05-16T20:14:56.000000-0300,2025-05-18T16:06:49.000000-0300,2,1,1,1.0,8750.0,0.0006568572050038041,false,true,false,false,47.09626714873258,Silver
P2P-3db9b5mh,1,40000.0,40000.0,40000.0,904.77,44.21,,2025-04-30T20:58:15.000000-0300,2025-04-30T20:58:15.000000-0300,1,1,0,1.0,40000.0,,false,false,false,false,46.80908029299345,Silver
P2P-756ddemc,2,17000.0,8500.0,8500.0,378.95,44.715,0.38890872965260165,2025-04-01T15:32:54.000000-0300,2025-04-02T22:48:07.000000-0300,2,1,1,1.0,8500.0,0.00869750038359838,false,true,false,false,46.72365364507016,Silver
P2P-11c417u1,1,38500.0,38500.0,38500.0,819.14,47.0,,2025-04-09T18:26:42.000000-0300,2025-04-09T18:26:42.000000-0300,1,1,0,1.0,38500.0,,false,false,false,false,45.69123978200619,Silver
P2P-9680313t,1,38000.0,38000.0,38000.0,813.35,46.72,,2025-04-09T17:05:48.000000-0300,2025-04-09T17:05:48.000000-0300,1,1,0,1.0,38000.0,,false,false,false,false,45.31862627834378,Silver
P2P-316feaqf,1,37841.6,37841.6,37841.6,801.05,47.24,,2025-04-09T19:39:01.000000-0300,2025-04-09T19:39:01.000000-0300,1,1,0,1.0,37841.6,,false,false,false,false,45.20058232038352,Silver
P2P-2c9a22fw,1,37841.6,37841.6,37841.6,801.05,47.24,,2025-04-09T19:18:35.000000-0300,2025-04-09T19:18:35.000000-0300,1,1,0,1.0,37841.6,,false,false,false,false,45.20058232038352,Silver
P2P-cc12c4gn,1,37769.5,37769.5,37769.5,801.05,47.15,,2025-04-08T21:38:20.000000-0300,2025-04-08T21:38:20.000000-0300,1,1,0,1.0,37769.5,,false,false,false,false,45.146851453155406,Silver
P2P-daf17dok,1,37633.32,37633.32,37633.32,801.05,46.98,,2025-04-08T17:27:14.000000-0300,2025-04-08T17:27:14.000000-0300,1,1,0,1.0,37633.32,,false,false,false,false,45.04536643929791,Silver
P2P-eaef2b3q,1,37633.32,37633.32,37633.32,801.05,46.98,,2025-04-08T17:23:40.000000-0300,2025-04-08T17:23:40.000000-0300,1,1,0,1.0,37633.32,,false,false,false,false,45.04536643929791,Silver
P2P-b46c86hw,1,37500.0,37500.0,37500.0,801.28,46.8,,2025-04-09T13:06:49.000000-0300,2025-04-09T13:06:49.000000-0300,1,1,0,1.0,37500.0,,false,false,false,false,44.94601277468136,Silver
P2P-d3325cfj,2,16000.0,8000.0,8000.0,368.23,43.45,0.07071067811865826,2025-05-13T14:50:41.000000-0300,2025-05-14T11:38:51.000000-0300,1,1,0,2.0,16000.0,0.0016274034089449542,false,true,true,false,43.92363211719738,Silver
P2P-320874cy,2,13750.0,6875.0,6875.0,316.96,43.335,0.23334523779155947,2025-05-16T17:14:45.000000-0300,2025-05-19T12:48:11.000000-0300,1,1,2,0.6666666666666666,4583.333333333333,0.005384682999689846,false,true,false,false,42.356460391812384,Silver
P2P-f098e2bh,1,33260.0,33260.0,33260.0,766.71,43.38,,2025-05-23T01:51:56.000000-0300,2025-05-23T01:51:56.000000-0300,1,1,0,1.0,33260.0,,false,false,false,false,41.786250263624055,Silver
P2P-c9b50df9,2,11718.0,5859.0,5859.0,263.0,44.555,0.36062445840514284,2025-03-21T22:26:10.000000-0300,2025-04-02T14:55:13.000000-0300,1,1,11,0.16666666666666666,976.5,0.008093916696333584,false,true,false,false,41.33530979785982,Silver
P2P-ee3e94uv,1,32060.34,32060.34,32060.34,685.05,46.8,,2025-04-09T13:07:47.000000-0300,2025-04-09T13:07:47.000000-0300,1,1,0,1.0,32060.34,,false,false,false,false,40.89223123201674,Silver
P2P-52dcddtt,1,30539.34,30539.34,30539.34,650.05,46.98,,2025-04-08T16:36:02.000000-0300,2025-04-08T16:36:02.000000-0300,1,1,0,1.0,30539.34,,false,false,false,false,39.75874095387566,Bronze
derkodierer,1,30000.0,30000.0,30000.0,657.89,45.6,,2025-04-04T15:27:14.000000-0300,2025-04-04T15:27:14.000000-0300,1,1,0,1.0,30000.0,,false,false,false,false,39.356810219745086,Bronze
