fiat_type,order_type,operations,total_fiat,avg_price,total_fees
UYU,Sell,588,10756228.660000002,43.53942176870743,5691.204000000009
USD,Sell,743,626396.5400000003,1.0434831763122339,281708.3330000006
UYU,Buy,13,98673.92000000001,40.24307692307693,109.81000000000003
USD,Buy,72,53343.44999999998,1566.4067499999996,220547.74559999997
