Counterparty,most_active_hour,most_active_weekday_int,hour_spread,unique_hour_day_combinations,most_active_weekday_name
P2P-d08921gg,18,1,0,1,Lunes
Agucrypto,23,1,0,1,Lunes
P2P-1796acve,13,1,0,1,Lunes
P2P-81f0e1ru,14,4,0,1,Jueves
GulagGhost,18,2,0,1,Martes
P2P-497a2as0,15,1,0,1,Lunes
hrgonzalez7,19,1,0,1,Lunes
P2P-9270afkm,19,3,0,1,Miércoles
P2P-b19fd5fi,20,3,0,1,Miércoles
Elhombregsto,16,3,0,1,Miércoles
P2P-296841xk,22,4,2,2,Jueves
P2P-3380aeeq,19,5,0,1,Viernes
P2P-abd0c8n7,21,5,0,1,Viernes
P2P-4a4762je,19,2,0,1,Martes
puppet02,22,3,0,1,Miércoles
P2P-39d1bcn0,16,6,0,1,Sábado
P2P-9003fcxt,14,2,0,1,Martes
P2P-b9e8bd97,18,4,0,1,Jueves
P2P-9e6860ta,16,6,0,1,Sábado
P2P-2c9a22fw,19,3,0,1,Miércoles
P2P-5190edir,18,3,1,2,Miércoles
P2P-c498ee3q,11,2,0,1,Martes
P2P-0dc8a3t7,20,3,0,1,Miércoles
P2P-e81516zv,19,5,0,1,Viernes
P2P-5de988uv,23,4,0,1,Jueves
P2P-2eea6665,19,1,1,2,Lunes
P2P-9e22817n,16,5,0,1,Viernes
miisvo,15,5,0,1,Viernes
P2P-3ceb7abv,20,2,0,1,Martes
NicoGonzalezUy,19,5,0,1,Viernes
P2P-64f581sr,15,1,0,1,Lunes
P2P-306869s8,15,3,0,1,Miércoles
