start_hour,num_sessions,total_volume,avg_duration,avg_operations
0,11,65177.37,0.0,1.0
1,16,166841.96,3.8229166666666665,1.25
2,1,2000.0,0.0,1.0
3,4,3619.41,2.183333333333333,1.25
4,5,9917.8,0.0,1.0
5,4,2520.38,0.0,1.0
6,3,1821.85,0.0,1.0
7,1,1040.0,0.0,1.0
8,10,11861.529999999999,0.16666666666666669,1.1
9,31,27497.000000000004,2.1252688172043013,1.1612903225806452
10,50,165154.66,2.800666666666666,1.26
11,45,164030.47999999998,3.8492592592592585,1.2666666666666666
12,82,770470.74,2.7815040650406497,1.2560975609756098
13,70,753159.9299999999,3.139047619047619,1.2
14,93,822236.95,3.5951612903225816,1.2688172043010753
15,92,1114258.5699999998,3.685144927536232,1.2717391304347827
16,99,1219622.64,3.3838383838383845,1.303030303030303
17,87,939469.3099999999,4.804214559386973,1.4022988505747127
18,83,1507170.36,6.177510040160643,1.5060240963855422
19,82,1338443.6500000004,5.321747967479674,1.4390243902439024
20,75,1250504.34,3.785999999999999,1.2533333333333334
21,61,561739.07,2.455464480874317,1.180327868852459
22,56,350676.86,1.250892857142857,1.1964285714285714
23,46,285407.71,0.8760869565217391,1.0869565217391304
