date,drawdown
2022-04-06,
2022-04-07,0.0
2022-04-08,-0.004545454545454741
2022-04-11,0.0
2022-04-12,-0.0030211480362536403
2022-04-13,-0.0030211480362536403
2022-04-18,-0.0030211480362536403
2022-04-19,-0.025906344410876025
2022-04-20,-0.025679758308157163
2022-04-23,-0.04025679758308176
2022-04-24,-0.030211480362537957
2022-04-25,-0.02839879154078573
2022-04-26,-0.028172205438066644
2022-04-28,-0.07099697885196388
2022-04-29,-0.004380664652568367
2022-04-30,-0.004380664652568367
2022-05-01,-0.002341389728097054
2022-05-02,-0.021261329305136245
2022-05-06,-0.009365558912387328
2022-05-09,0.0
2022-05-10,-0.03692989706213856
2022-05-12,0.0
2022-05-14,0.0
2022-05-15,-0.0008863283846665126
2022-05-16,-0.016397075116330595
2022-05-25,-0.07068468867715494
2022-05-26,-0.10983085899992628
2022-05-27,-0.07519019129920967
2022-05-30,-0.10480833148681579
2022-05-31,-0.06935519610015528
2022-06-01,-0.06292931531132284
2022-06-04,-0.06536671836915586
2022-06-05,-0.07245734544648785
2022-06-06,-0.08098825614890315
2022-06-07,-0.06049191225348993
2022-06-08,-0.07777531575448693
2022-06-09,-0.11123421227564811
2022-06-11,-0.07600265898515413
2022-06-12,-0.06558830046532249
2022-06-13,-0.06297363173055637
2022-06-15,-0.06869044981165529
2022-06-16,-0.06935519610015528
2022-06-17,-0.11500110791048102
2022-06-18,-0.06863505428761385
2022-06-19,-0.002880567250166499
2022-06-20,-0.062375360070906605
2022-06-21,-0.0693551961001555
2022-06-22,-0.06736095723465574
2022-06-26,-0.04254376246399327
2022-06-27,-0.06640076815126716
2022-07-01,-0.09417239087081819
2022-07-02,-0.07046310658098875
2022-07-04,-0.07600265898515435
2022-07-05,-0.047196986483492465
2022-07-29,-0.046089076002659324
2022-08-04,-0.06935519610015539
2022-08-08,-0.036117881675160834
2022-08-24,-0.038333702636827116
2022-09-05,-0.037447374252160714
2022-09-08,-0.04409483713715956
2022-09-10,-0.038333702636827116
2022-09-13,-0.0460890760026591
2022-09-14,-0.038333702636827116
2022-09-15,-0.04719698648349224
2022-09-17,-0.03722579215599375
2022-09-19,-0.04719698648349224
2022-09-22,-0.025038776866829315
2022-09-23,-0.025038776866829315
2022-09-30,-0.03611788167516061
2022-10-06,-0.039441613117660035
2022-10-07,-0.033163453726272385
2022-10-09,-0.022158209616663038
2022-10-12,-0.035896299578994206
2022-11-11,-0.01839131398183047
2022-11-12,-0.03057832927099502
2022-11-18,-0.0704631065809882
2022-11-19,-0.002880567250166277
2022-11-23,-0.002880567250166277
2022-11-24,-0.03035674717482828
2022-11-25,-0.05849767338799028
2022-11-26,-0.05938400177265679
2022-11-28,-0.06713937513848889
2022-11-30,-0.09151340571681821
2022-12-02,-0.09040549523598507
2022-12-03,-0.07183691557722127
2022-12-05,-0.07378683802348796
2022-12-08,-0.09400620429869289
2022-12-09,-0.09816086860181705
2022-12-10,-0.08730334588965238
2022-12-11,-0.09816086860181727
2023-01-08,-0.002880567250166277
2023-03-10,-0.06381564369598947
2023-04-02,-0.05827609129182365
2023-04-05,-0.06824728561932203
2023-04-11,-0.0915134057168181
2023-04-19,-0.05772213605140719
2023-04-24,-0.05827609129182376
2023-04-26,-0.08730334588965238
2023-04-28,-0.08209616662973651
2023-05-03,-0.08818967427431879
2023-05-11,-0.09095945047640164
2023-05-16,-0.20230445380013307
2023-05-27,-0.0906270773321518
2023-05-28,-0.08287170396631971
2023-06-11,-0.0891867937070685
2023-09-23,-0.09505871925548426
2023-11-25,-0.06479693583615576
2023-11-27,-0.06155058226850829
2023-11-28,-0.06799404893798866
2023-11-29,-0.07034000541645147
2023-11-30,-0.0663823029765861
2023-12-01,-0.05996011522268996
2023-12-02,-0.05977177044094828
2023-12-03,-0.0500775537336583
2023-12-04,-0.06990915134057163
2023-12-05,-0.06558830046532227
2023-12-06,-0.0846443607356524
2023-12-07,-0.06233842972154524
2023-12-08,-0.057832927099490394
2023-12-09,-0.05495235984932412
2023-12-10,-0.051628628406824806
2023-12-11,-0.06492355417682238
2023-12-12,-0.05672501661865692
2023-12-13,-0.05376135608242849
2023-12-14,-0.04461186202821488
2023-12-15,-0.08043430090848658
2023-12-18,-0.05345668070019949
2023-12-20,-0.0782184799468203
2023-12-21,-0.0627077332151561
2023-12-24,-0.07467316640815425
2024-03-20,-0.09594504764015066
2025-03-11,0.0
2025-03-12,-0.00012352260463632803
2025-03-13,-0.005478729880295186
2025-03-14,-0.00237076718372764
2025-03-15,-0.003549649585874004
2025-03-16,-0.006423175441105156
2025-03-17,-0.012710548252552245
2025-03-18,-0.01509111881760028
2025-03-19,-0.014712192331196139
2025-03-20,-0.02134340584326877
2025-03-21,-0.021757856687773303
2025-03-22,-0.009738782197141638
2025-03-24,-0.008633579945129588
2025-03-25,-0.016259475484013186
2025-03-29,-0.02045924404165922
2025-03-30,-0.01858040021323859
2025-03-31,-0.0207908047172628
2025-04-01,-0.013496469853982895
2025-04-02,-0.0057047939772975065
2025-04-03,-0.015327947871602632
2025-04-04,0.0
2025-04-05,0.0
2025-04-06,0.0
2025-04-07,0.0
2025-04-08,0.0
2025-04-09,-0.001329514446616109
2025-04-10,-0.0004354304956165622
2025-04-11,-0.005863797340970867
2025-04-12,-0.006076674472161314
2025-04-13,0.0
2025-04-14,-0.009465344139349186
2025-04-15,-0.013830087496471966
2025-04-28,-0.04074936494496206
2025-04-30,-0.06414055884843362
2025-05-02,-0.06964436917866224
2025-05-04,-0.058001693480101646
2025-05-05,-0.06673370025402203
