session_id,session_start_hour,session_end_hour,total_ops,total_volume,hour_span
1025,16,16,3,42000.0,0
641,14,14,2,11405.0,0
239,15,15,1,202.2,0
650,12,12,1,220.0,0
513,15,15,1,619.0,0
379,20,20,1,300.0,0
635,12,13,3,6000.0,1
1022,21,21,1,37769.5,0
903,15,15,1,6342.24,0
647,20,19,7,37481.82,1
501,19,19,1,520.0,0
126,16,16,1,350.0,0
638,21,21,2,18900.0,0
909,17,17,1,300.0,0
236,18,18,1,5370.0,0
632,0,0,1,5000.0,0
915,15,15,2,1200.0,0
248,20,20,2,1605.66,0
897,10,10,1,500.0,0
1046,19,19,1,15254.66,0
522,13,13,1,400.0,0
629,14,14,1,25800.0,0
912,21,21,1,300.0,0
623,12,12,1,4500.0,0
123,17,17,1,47436.2,0
257,16,16,1,450.0,0
1019,17,16,6,199585.08000000002,1
242,11,11,1,2376.0,0
888,12,12,1,800.0,0
492,20,20,1,200.0,0
114,17,17,1,50.0,0
891,15,15,1,2500.0,0
644,16,16,1,24842.0,0
388,22,22,1,500.0,0
99,18,18,1,500.0,0
775,10,10,1,1000.0,0
1016,18,19,8,132459.71000000002,2
757,18,18,1,2000.0,0
516,21,21,1,800.0,0
361,22,22,1,3105.0,0
760,21,21,1,600.0,0
1043,14,14,1,66000.0,0
376,19,19,1,193.05,0
769,15,15,1,500.0,0
504,18,18,1,206.6,0
370,0,0,1,200.0,0
230,20,20,1,5000.0,0
260,21,21,1,1685.96,0
894,13,13,1,1000.0,0
626,11,11,2,650.0,0
507,16,16,1,256.0,0
105,12,12,1,500.0,0
495,15,15,1,300.0,0
233,14,14,1,10000.0,0
1034,15,15,1,13822.57,0
784,16,16,1,600.0,0
367,11,11,1,1000.0,0
766,9,9,1,400.0,0
906,5,5,1,300.0,0
900,15,15,1,424.0,0
251,14,14,1,2394.24,0
498,14,14,1,500.0,0
1040,20,20,1,33000.0,0
373,17,17,1,300.0,0
382,17,17,1,310.0,0
102,14,14,1,500.0,0
245,20,20,1,138.0,0
778,17,17,2,1590.0,0
885,5,5,1,600.0,0
519,16,16,1,200.0,0
948,14,14,1,12000.0,0
293,18,18,1,1100.0,0
793,12,12,1,600.0,0
150,22,22,1,4500.0,0
25,19,19,2,2000.0,0
16,19,19,1,96058.8,0
945,21,21,1,8515.0,0
656,13,13,1,16600.0,0
1061,16,16,1,1250.0,0
421,17,17,1,700.0,0
22,19,19,1,150.0,0
790,22,22,1,1575.0,0
272,12,12,1,100.0,0
534,19,19,1,400.0,0
918,19,19,1,300.0,0
19,19,19,1,21445.0,0
552,17,17,2,33860.0,0
424,18,18,1,100.0,0
1064,23,23,1,100.0,0
811,21,21,1,2000.0,0
817,17,17,1,500.0,0
278,19,19,1,1000.0,0
135,19,19,1,2500.0,0
156,18,18,1,100.0,0
415,13,13,1,200.0,0
1052,18,18,1,54375.64,0
284,14,14,1,1000.0,0
1079,16,16,1,5000.0,0
546,18,18,1,72000.0,0
680,22,22,2,400.0,0
412,15,15,1,100.0,0
406,12,12,1,154.8,0
808,17,17,2,4000.0,0
28,1,1,1,3500.0,0
686,14,14,1,2000.0,0
266,16,16,1,56978.1,0
4,9,9,1,6580.0,0
418,9,9,1,139.34,0
668,16,15,3,61633.69,1
543,14,14,1,4000.0,0
927,15,15,2,54250.0,0
540,18,18,2,715.0,0
549,13,13,1,2000.0,0
141,13,14,2,285.0,1
930,18,19,5,65462.0,1
1070,21,21,1,10000.0,0
1049,23,23,1,100.0,0
814,12,12,1,1690.0,0
936,22,22,1,22000.0,0
1058,18,18,1,19500.0,0
269,14,14,1,38055.5,0
138,15,15,1,1059.67,0
674,13,13,1,250.0,0
1076,19,19,1,103.65,0
537,12,12,1,500.0,0
31,14,14,1,8641.0,0
