session_id,num_operations,total_volume,volume_volatility,q75_volume,q25_volume,session_start,session_end,duration_minutes,volume_iqr,volume_efficiency,consistency_score,intensity_score
866,1,530.0,,530.0,530.0,2024-05-05T20:08:32.000000-0300,2024-05-05T20:08:32.000000-0300,0.0,0.0,53000.0,,100.0
723,1,520.0,,520.0,520.0,2024-01-17T10:58:15.000000-0300,2024-01-17T10:58:15.000000-0300,0.0,0.0,52000.0,,100.0
357,1,230.0,,230.0,230.0,2023-07-27T19:32:33.000000-0300,2023-07-27T19:32:33.000000-0300,0.0,0.0,23000.0,,100.0
875,1,500.0,,500.0,500.0,2024-05-21T21:03:22.000000-0300,2024-05-21T21:03:22.000000-0300,0.0,0.0,50000.0,,100.0
226,1,50.0,,50.0,50.0,2022-12-09T06:31:09.000000-0300,2022-12-09T06:31:09.000000-0300,0.0,0.0,5000.0,,100.0
747,1,900.0,,900.0,900.0,2024-02-12T10:13:07.000000-0300,2024-02-12T10:13:07.000000-0300,0.0,0.0,90000.0,,100.0
607,1,210.0,,210.0,210.0,2023-12-06T09:13:22.000000-0300,2023-12-06T09:13:22.000000-0300,0.0,0.0,21000.0,,100.0
509,1,890.0,,890.0,890.0,2023-11-10T12:54:27.000000-0300,2023-11-10T12:54:27.000000-0300,0.0,0.0,89000.0,,100.0
369,1,105.0,,105.0,105.0,2023-08-08T16:36:28.000000-0300,2023-08-08T16:36:28.000000-0300,0.0,0.0,10500.0,,100.0
1033,1,13200.0,,13200.0,13200.0,2025-04-11T13:29:03.000000-0300,2025-04-11T13:29:03.000000-0300,0.0,0.0,1320000.0,,100.0
107,2,57813.270000000004,15688.387235355009,40000.0,17813.27,2022-08-04T15:07:08.000000-0300,2022-08-04T15:24:18.000000-0300,17.166666666666668,22186.73,3367.763300970874,3.685099630235623,0.11650485436893203
244,1,1017.67,,1017.67,1017.67,2022-12-15T15:59:40.000000-0300,2022-12-15T15:59:40.000000-0300,0.0,0.0,101767.0,,100.0
259,1,200.55,,200.55,200.55,2023-03-23T19:16:18.000000-0300,2023-03-23T19:16:18.000000-0300,0.0,0.0,20055.0,,100.0
262,1,10000.0,,10000.0,10000.0,2023-04-02T11:22:57.000000-0300,2023-04-02T11:22:57.000000-0300,0.0,0.0,1000000.0,,100.0
503,3,3190.0,1495.3371972011307,2790.0,200.0,2023-11-08T16:36:44.000000-0300,2023-11-08T16:49:11.000000-0300,12.45,2590.0,256.22489959839356,2.133298098897575,0.24096385542168677
1021,1,10000.0,,10000.0,10000.0,2025-04-08T20:01:03.000000-0300,2025-04-08T20:01:03.000000-0300,0.0,0.0,1000000.0,,100.0
518,1,250.0,,250.0,250.0,2023-11-16T15:34:53.000000-0300,2023-11-16T15:34:53.000000-0300,0.0,0.0,25000.0,,100.0
777,1,800.0,,800.0,800.0,2024-03-04T16:28:14.000000-0300,2024-03-04T16:28:14.000000-0300,0.0,0.0,80000.0,,100.0
378,1,300.0,,300.0,300.0,2023-08-19T18:36:29.000000-0300,2023-08-19T18:36:29.000000-0300,0.0,0.0,30000.0,,100.0
363,1,310.5,,310.5,310.5,2023-08-03T17:19:04.000000-0300,2023-08-03T17:19:04.000000-0300,0.0,0.0,31050.0,,100.0
110,1,600.0,,600.0,600.0,2022-08-08T21:24:45.000000-0300,2022-08-08T21:24:45.000000-0300,0.0,0.0,60000.0,,100.0
759,1,1395.28,,1395.28,1395.28,2024-02-17T10:13:49.000000-0300,2024-02-17T10:13:49.000000-0300,0.0,0.0,139528.0,,100.0
762,1,800.0,,800.0,800.0,2024-02-19T11:59:50.000000-0300,2024-02-19T11:59:50.000000-0300,0.0,0.0,80000.0,,100.0
253,1,500.91,,500.91,500.91,2023-02-02T03:29:22.000000-0300,2023-02-02T03:29:22.000000-0300,0.0,0.0,50091.0,,100.0
256,1,575.18,,575.18,575.18,2023-03-07T16:21:14.000000-0300,2023-03-07T16:21:14.000000-0300,0.0,0.0,57517.99999999999,,100.0
625,1,7000.0,,7000.0,7000.0,2023-12-08T21:29:33.000000-0300,2023-12-08T21:29:33.000000-0300,0.0,0.0,700000.0,,100.0
771,1,420.0,,420.0,420.0,2024-02-29T14:35:35.000000-0300,2024-02-29T14:35:35.000000-0300,0.0,0.0,42000.0,,100.0
756,1,400.0,,400.0,400.0,2024-02-16T17:55:24.000000-0300,2024-02-16T17:55:24.000000-0300,0.0,0.0,40000.0,,100.0
131,1,4999.99,,4999.99,4999.99,2022-09-03T14:35:03.000000-0300,2022-09-03T14:35:03.000000-0300,0.0,0.0,499998.99999999994,,100.0
387,1,206.2,,206.2,206.2,2023-09-15T14:16:37.000000-0300,2023-09-15T14:16:37.000000-0300,0.0,0.0,20620.0,,100.0
232,2,4000.0,0.0,2000.0,2000.0,2022-12-10T23:31:03.000000-0300,2022-12-10T23:37:06.000000-0300,6.05,0.0,661.1570247933885,100.0,0.3305785123966942
497,1,600.0,,600.0,600.0,2023-11-05T22:39:12.000000-0300,2023-11-05T22:39:12.000000-0300,0.0,0.0,60000.0,,100.0
637,1,7552.0,,7552.0,7552.0,2023-12-12T18:34:55.000000-0300,2023-12-12T18:34:55.000000-0300,0.0,0.0,755200.0,,100.0
