asset_type,order_type,operations,quantity,total_fiat,total_fees
USDT,Sell,1329,844419.510000003,11358569.990000006,1988.629999999993
USDT,Buy,74,48223.54,138674.93000000005,108.29999999999997
BUSD,Sell,2,153570584.435,24055.21,285410.907
BUSD,Buy,7,78725794.685,11110.64,220531.44559999998
BTC,Buy,3,3896.681,2099.3900000000003,14.236
ETH,Buy,1,12764.378,132.41,3.574
