fiat_type,avg_price,median_price,min_price,max_price,std_price,q1_price,q3_price,iqr_price,p1_price,p99_price
UYU,43.46811980033273,43.08,36.0,47.24,1.7658231203296018,42.15,44.7,2.5500000000000043,39.36,47.11
USD,139.3332441717794,1.039,0.85,61381.33,2425.8587486630054,1.032,1.05,0.018000000000000016,0.901,961.0
