Counterparty,payment_method,operations_with_method,volume_with_method,avg_volume_with_method,total_operations_cp,total_volume_cp,pct_operations,pct_volume
P2P-5de988uv,ItauUruguay,1,100.0,100.0,1,100.0,100.0,100.0
P2P-5f308diy,OcaBlue,1,13718.95,13718.95,1,13718.95,100.0,100.0
P2P-5ff10350,ItauUruguay,1,22000.0,22000.0,1,22000.0,100.0,100.0
P2P-62b1d38x,SantanderUrug,1,23402.34,23402.34,1,23402.34,100.0,100.0
P2P-641ec0rg,SantanderUrug,1,13822.57,13822.57,1,13822.57,100.0,100.0
P2P-64f581sr,OcaBlue,1,13306.41,13306.41,1,13306.41,100.0,100.0
P2P-688f27in,ItauUruguay,1,18932.03,18932.03,1,18932.03,100.0,100.0
P2P-6a9e59sy,OcaBlue,1,4494.5,4494.5,1,4494.5,100.0,100.0
P2P-6aed9d74,SantanderUrug,1,10000.0,10000.0,1,10000.0,100.0,100.0
P2P-6b5571x4,BBVAUruguay,1,1500.0,1500.0,1,1500.0,100.0,100.0
P2P-6ba210ay,OcaBlue,1,10000.0,10000.0,1,10000.0,100.0,100.0
P2P-6bd909ei,OcaBlue,1,66000.0,66000.0,1,66000.0,100.0,100.0
P2P-6c79d2ws,SantanderUrug,1,14704.85,14704.85,1,14704.85,100.0,100.0
P2P-6cc015hc,ItauUruguay,1,15000.0,15000.0,1,15000.0,100.0,100.0
P2P-6d8f04rk,SantanderUrug,1,27450.0,27450.0,1,27450.0,100.0,100.0
P2P-6dca87kb,SantanderUrug,1,15000.0,15000.0,1,15000.0,100.0,100.0
P2P-72528fj9,SantanderUrug,1,105718.14,105718.14,1,105718.14,100.0,100.0
P2P-756ddemc,BBVAUruguay,1,13000.0,13000.0,2,17000.0,50.0,76.47058823529412
P2P-756ddemc,SantanderUrug,1,4000.0,4000.0,2,17000.0,50.0,23.52941176470588
P2P-76b381xc,OcaBlue,1,20551.0,20551.0,1,20551.0,100.0,100.0
P2P-7853865x,OcaBlue,1,20310.23,20310.23,1,20310.23,100.0,100.0
P2P-79dedcwc,BankRepublicUruguay,1,46953.0,46953.0,1,46953.0,100.0,100.0
P2P-7b4cc2q5,ItauUruguay,1,20000.0,20000.0,1,20000.0,100.0,100.0
P2P-7d10eehy,OcaBlue,1,5000.0,5000.0,1,5000.0,100.0,100.0
P2P-7d4ea08o,BBVAUruguay,1,8800.0,8800.0,2,17500.0,50.0,50.28571428571429
P2P-7d4ea08o,SantanderUrug,1,8700.0,8700.0,2,17500.0,50.0,49.714285714285715
P2P-7d6773bi,OcaBlue,1,12000.0,12000.0,1,12000.0,100.0,100.0
P2P-81f0e1ru,ItauUruguay,1,9242.0,9242.0,1,9242.0,100.0,100.0
P2P-85f40bca,ItauUruguay,1,12800.0,12800.0,1,12800.0,100.0,100.0
